rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
6850,9024568,K05601.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,124.091252,0.003319,-0.003319,135.5509,0.0259,-0.0259,2454968.551,0.0259,-0.0259,0.0,,,,,,0.031,0.4615,-0.0307,2.172,0.67,-0.67,,,,281.4,63.5,-63.5,0.01505,0.001395,-0.002886,106.70197,69.69568,-105.65695,MCMC,1.3,0.36,-0.1,0.4619,,,89.95,,,305.0,,,2.04,1.72,-0.48,443.0,145.0,-145.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2059,0.4941,q1_q16_koi,,,5.7,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,009/009024/009024568/dv/kplr009024568-20130815195353_dvr.pdf,009/009024/009024568/dv/kplr009024568-001-20130826182306_dvs.pdf,5275.0,169.0,-135.0,4.571,0.029,-0.168,-0.04,0.3,-0.28,0.792,0.218,-0.061,0.852,0.088,-0.084,,,,stellar_q1_q16,292.77322,45.371311,14.152,14.79,14.085,13.878,13.755,12.739,12.342,12.282,0.046,19.518178,2.5e-05,45.37041,0.00036,-1.38,0.95,-3.3,1.3,0.00038,0.00029,0.00013,0.0004,-0.4,1.0,3.7,2.7,3.7,2.7,-0.1,1.1,2.5,3.5,2.5,3.4
8870,11810124,K03344.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.814,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,208.54335,0.0166,-0.0166,230.9934,0.0374,-0.0374,2455063.993,0.0374,-0.0374,0.0,,,,,,0.001,0.446,-0.001,9.851,0.611,-0.611,,,,614.6,60.5,-60.5,0.022302,0.001344,-0.001472,1.96553,0.02155,-1.01773,LS+MCMC,2.84,0.42,-0.52,0.6732,,,90.0,,,321.0,,,2.52,1.01,-0.92,165.32,1.8,-1.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,4.4664793,8.2273445,10.4,3,4.0,3.0,q1_q17_dr25_tce,1.11111111111111e+31,0.2262,Mandel and Agol (2002 ApJ 580 171),,,011/011810/011810124/dv/kplr011810124-20160209194854_dvr.pdf,011/011810/011810124/dv/kplr011810124-003-20160209194854_dvs.pdf,5533.0,83.0,-74.0,4.275,0.168,-0.112,0.16,0.15,-0.15,1.166,0.174,-0.212,0.934,0.063,-0.045,,,,q1_q17_dr25_stellar,289.66489,50.020039,15.254,15.746,15.227,15.043,14.959,14.037,13.69,13.604,0.016,19.310977,4.9e-05,50.01917,0.00049,-0.5,1.7,-3.1,1.7,0.0005,0.001,0.0017,0.001,-1.6,1.4,2.2,1.1,2.7,1.7,-1.5,1.5,2.2,1.0,2.7,1.2
4049,8548427,K04317.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,168.84663,0.01083,-0.01083,231.2295,0.038,-0.038,2455064.229,0.038,-0.038,0.0,,,,,,0.1251,0.3255,-0.1251,9.75,1.2,-1.2,,,,215.1,32.0,-32.0,0.013345,0.001619,-0.000606,1.56085,1.51583,-0.96567,MCMC,1.45,0.59,-0.13,0.6188,,,89.95,,,329.0,,,2.78,3.37,-0.74,133.0,64.6,-64.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2727,0.3944,q1_q16_koi,,,9.3,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,008/008548/008548427/dv/kplr008548427-20130815195353_dvr.pdf,008/008548/008548427/dv/kplr008548427-001-20130826182306_dvs.pdf,5897.0,149.0,-191.0,4.489,0.038,-0.297,0.21,0.15,-0.31,0.992,0.411,-0.085,1.106,0.185,-0.149,,,,stellar_q1_q16,286.7937,44.638561,13.859,14.334,13.788,13.655,13.609,12.715,12.445,12.345,0.002,19.119543,4.5e-05,44.63937,0.00053,-1.4,1.7,2.9,1.9,0.00032,0.00037,-0.00069,0.00042,-0.55,0.49,3.1,2.3,3.1,2.4,-0.5,0.49,2.8,2.2,2.8,2.2
6335,5949765,K05212.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,426.34444,0.02321,-0.02321,464.9081,0.0222,-0.0222,2455297.908,0.0222,-0.0222,0.0,,,,,,0.032,0.407,-0.0318,14.139,0.86,-0.86,,,,90.2,10.4,-10.4,0.008762,0.000498,-0.000671,1.30408,0.13992,-0.59124,MCMC,1.33,0.64,-0.31,1.1269,,,89.95,,,314.0,,,2.29,3.24,-1.1,232.3,24.9,-24.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3055,0.2956,q1_q16_koi,,,9.7,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,005/005949/005949765/dv/kplr005949765-20130815195353_dvr.pdf,005/005949/005949765/dv/kplr005949765-001-20130826182306_dvs.pdf,6395.0,164.0,-188.0,4.17,0.207,-0.252,-0.38,0.26,-0.3,1.394,0.665,-0.326,1.047,0.244,-0.118,,,,stellar_q1_q16,288.37491,41.27457,12.254,12.568,12.221,12.119,12.128,11.317,11.091,11.059,0.354,19.225017,2.2e-05,41.27457,0.00029,0.97,0.9,0.0,1.0,-0.00011,0.00013,1e-05,0.00015,-2.4,1.5,-1.73,0.23,2.9,1.2,-2.2,1.5,-1.61,0.22,2.7,1.3
3665,9334893,K02298.02,Kepler-1178 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,31.8055128,0.0006015,-0.0006015,150.6791,0.0149,-0.0149,2454983.679,0.0149,-0.0149,0.0,,,,,,0.476,0.498,-0.275,3.979,0.312,-0.312,,,,141.7,14.1,-14.1,0.011023,0.000315,-0.001127,3.02114,1.93278,-0.87895,LS+MCMC,0.63,0.04,-0.04,0.1596,,,89.5,,,378.0,,,4.84,1.21,-1.06,54.5,17.4,-17.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2745,0.4228,q1_q17_dr25_koi,3.6420062,9.227413,10.9,3,41.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.2746,Mandel and Agol (2002 ApJ 580 171),,,009/009334/009334893/dv/kplr009334893-20160209194854_dvr.pdf,009/009334/009334893/dv/kplr009334893-002-20160209194854_dvs.pdf,4729.0,143.0,-143.0,4.726,0.045,-0.024,-1.42,0.3,-0.3,0.525,0.028,-0.032,0.534,0.036,-0.02,,,,q1_q17_dr25_stellar,288.45605,45.80212,13.831,14.593,13.815,13.505,13.355,12.323,11.826,11.735,0.097,19.230378,2.5e-05,45.80195,0.00029,-0.99,0.96,-0.6,1.0,0.00018,0.00016,0.00014,0.00017,-0.32,0.41,-0.89,0.56,0.95,0.55,-0.17,0.41,-0.63,0.56,0.65,0.57
8470,8845552,K07099.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,34.0357766,0.0004609,-0.0004609,138.9291,0.0117,-0.0117,2454971.929,0.0117,-0.0117,0.0,,,,,,0.6983,0.0633,-0.4897,3.849,0.364,-0.364,,,,386.6,50.0,-50.0,0.019173,0.005787,-0.001981,2.05976,4.83953,-0.08325,MCMC,1.05,0.07,-0.1,0.1634,,,89.38,,,337.0,,,3.06,0.9,-0.86,50.2,23.6,-23.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3123,0.3526,q1_q17_dr24_koi,5.4872036,7.9615827,9.6,1,42.0,1.0,q1_q17_dr24_tce,1.11111111111111e+31,,Mandel and Agol (2002 ApJ 580 171),,,008/008845/008845552/dv/kplr008845552-20141002224145_dvr.pdf,008/008845/008845552/dv/kplr008845552-001-20141002224145_dvs.pdf,4367.0,136.0,-146.0,4.739,0.06,-0.06,-1.14,0.3,-0.3,0.501,0.035,-0.046,0.503,0.039,-0.033,,,,stellar_q1_q17,300.30533,45.093418,15.534,16.533,15.482,15.107,14.876,13.787,13.176,12.968,0.533,20.020394,4e-05,45.09363,0.00041,1.5,1.5,0.8,1.5,-0.00023,0.0006,-0.00028,0.00059,0.11,0.79,-0.28,0.95,0.3,1.1,0.21,0.85,-0.1,1.1,0.2,1.3
6943,9141355,K05622.01,Kepler-1635 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.954,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,469.61309,0.0143,-0.0143,422.5089,0.0139,-0.0139,2455255.509,0.0139,-0.0139,0.0,,,,,,0.906,0.039,-0.632,13.709,0.543,-0.543,,,,1234.7,76.6,-76.6,0.038837,0.000267,-0.007082,0.20209,2.09816,-0.14114,LS+MCMC,3.24,0.64,-0.28,1.117,,,89.61,,,200.0,,,0.37,0.24,-0.09,133.1,65.8,-65.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2521,0.421,q1_q17_dr25_koi,9.01089,13.892415,18.2,1,3.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.3545,Mandel and Agol (2002 ApJ 580 171),,,009/009141/009141355/dv/kplr009141355-20160209194854_dvr.pdf,009/009141/009141355/dv/kplr009141355-001-20160209194854_dvs.pdf,5474.0,166.0,-149.0,4.598,0.032,-0.128,-0.28,0.3,-0.3,0.763,0.152,-0.065,0.847,0.083,-0.092,,,,q1_q17_dr25_stellar,285.349,45.556179,15.696,16.293,15.65,15.44,15.337,14.345,13.997,13.895,0.006,19.023304,2e-05,45.55596,0.0002,1.43,0.77,-0.79,0.73,-0.0022,0.0011,0.001,0.0011,0.12,0.19,0.19,0.18,0.22,0.18,0.13,0.19,0.2,0.18,0.24,0.18
4190,3644602,K04479.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,0,1,q1_q17_dr25_sup_koi,INDIV_TRANS_CHASES_MARSHALL_SKYE---CENT_FEW_DIFFS---EPHEM_MATCH,359.08368,0.01663,-0.01663,415.3834,0.0337,-0.0337,2455248.383,0.0337,-0.0337,0.0,,,,,,1.262,6.63,-0.078,15.67,1.7,-1.7,,,,618.7,67.5,-67.5,0.286377,6.621409,-0.076491,0.01197,0.14457,-0.00702,LS+MCMC,29.15,9.06,-3.04,0.9846,,,88.33,,,268.0,,,1.23,1.13,-0.38,43.4,21.0,-21.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3026,q1_q17_dr25_koi,6.460072,9.62688,10.8,1,4.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8795,Mandel and Agol (2002 ApJ 580 171),,,003/003644/003644602/dv/kplr003644602-20160209194854_dvr.pdf,003/003644/003644602/dv/kplr003644602-001-20160209194854_dvs.pdf,6256.0,176.0,-220.0,4.493,0.054,-0.202,-0.44,0.3,-0.3,0.932,0.29,-0.097,0.986,0.123,-0.123,,,,q1_q17_dr25_stellar,291.18927,38.731159,15.145,15.57,15.11,14.963,14.878,14.009,13.646,13.654,0.0,19.412589,3.7e-05,38.73211,0.00041,-1.2,1.5,3.4,1.5,0.00083,0.00093,-0.00207,0.00091,-0.2,1.1,3.31,0.88,3.32,0.88,0.0,1.1,3.32,0.88,3.32,0.88
6944,9142225,K05623.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_MARSHALL_SKYE---ALL_TRANS_CHASES---INCONSISTENT_TRANS---CENT_FEW_DIFFS,583.73632,0.0504,-0.0504,174.6085,0.037,-0.037,2455007.609,0.037,-0.037,0.0,,,,,,0.126,0.329,-0.126,15.75,1.9,-1.9,,,,338.6,33.5,-33.5,0.0168,0.000687,-0.001396,1.29434,2.85464,-0.75191,LS+MCMC,2.65,0.46,-0.51,1.4277,,,89.97,,,266.0,,,1.19,0.54,-0.46,286.0,126.0,-126.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2891,0.3589,q1_q17_dr25_koi,6.400564,7.1517906,11.4,1,3.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.5321,Mandel and Agol (2002 ApJ 580 171),,,009/009142/009142225/dv/kplr009142225-20160209194854_dvr.pdf,009/009142/009142225/dv/kplr009142225-001-20160209194854_dvs.pdf,6003.0,80.0,-80.0,4.176,0.162,-0.108,0.12,0.15,-0.15,1.442,0.253,-0.278,1.139,0.106,-0.096,,,,q1_q17_dr25_stellar,285.80096,45.571739,14.495,14.86,14.451,14.339,14.321,13.503,13.246,13.153,0.118,19.053468,5.7e-05,45.57133,0.00065,2.6,2.2,-1.5,2.3,-0.00078,0.00066,0.0005,0.00072,2.17,0.58,0.1,0.56,2.18,0.58,2.18,0.58,0.29,0.56,2.2,0.58
996,6946199,K01359.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,104.8205868,0.0002329,-0.0002329,374.83154,0.0015,-0.0015,2455207.832,0.0015,-0.0015,0.0,,,,,,0.918,0.006,-0.01,4.4794,0.0878,-0.0878,,,,3920.1,75.6,-75.6,0.069522,0.000873,-0.0016,1.62532,0.18821,-0.16973,LS+MCMC,6.45,1.78,-0.71,0.4183,,,89.46,,,376.0,,,4.74,3.94,-1.5,98.1,11.4,-11.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2979,0.3238,q1_q17_dr25_koi,28.015963,74.476715,76.6,2,12.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.6831,Mandel and Agol (2002 ApJ 580 171),,,006/006946/006946199/dv/kplr006946199-20160209194854_dvr.pdf,006/006946/006946199/dv/kplr006946199-001-20160209194854_dvs.pdf,5986.0,179.0,-215.0,4.527,0.06,-0.192,-0.5,0.3,-0.3,0.85,0.234,-0.094,0.886,0.099,-0.099,,,,q1_q17_dr25_stellar,291.02069,42.46244,15.229,15.705,15.188,15.025,14.921,14.013,13.65,13.532,0.001,19.4013771,4.8e-06,42.462419,4.7e-05,-0.12,0.19,-0.08,0.17,-0.002,0.0011,-0.0002,0.0012,0.98,0.65,-0.07,0.2,0.98,0.65,0.07,0.11,0.016,0.095,0.07,0.11
