rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
4180,6685646,K04618.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,244.86662,0.01522,-0.01522,141.9596,0.0416,-0.0416,2454974.96,0.0416,-0.0416,0.0,,,,,,0.3872,0.0612,-0.3872,10.56,1.8,-1.8,,,,289.5,40.5,-40.5,0.01575,0.001078,-0.001332,1.45398,1.52014,-1.35408,MCMC,1.46,0.56,-0.12,0.7506,,,89.95,,,273.0,,,1.31,1.49,-0.31,166.4,58.0,-58.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2847,0.3628,q1_q16_koi,,,9.7,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5821.0,157.0,-153.0,4.554,0.03,-0.276,-0.22,0.28,-0.28,0.848,0.327,-0.066,0.937,0.096,-0.105,,,,stellar_q1_q16,290.04114,42.10574,14.462,14.94,14.414,14.257,14.208,13.328,12.981,12.901,,,,,,,,,,,,,,,,,,,,,,,,,
6164,1865864,K04926.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.523,0,0,0,0,q1_q17_dr25_sup_koi,CENT_UNCERTAIN,69.089357,0.002371,-0.002371,135.4461,0.028,-0.028,2454968.446,0.028,-0.028,0.0,,,,,,0.051,0.416,-0.051,6.207,0.93,-0.93,,,,475.1,73.5,-73.5,0.019304,0.001882,-0.001801,2.57178,2.33551,-2.5395,LS+MCMC,1.47,0.13,-0.14,0.2895,,,89.97,,,332.0,,,2.87,0.92,-0.8,86.6,39.3,-39.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1263,0.6019,q1_q17_dr25_koi,3.6705291,7.6351213,8.6,1,20.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.3863,Mandel and Agol (2002 ApJ 580 171),,,001/001865/001865864/dv/kplr001865864-20160209194854_dvr.pdf,001/001865/001865864/dv/kplr001865864-001-20160209194854_dvs.pdf,4848.0,131.0,-146.0,4.581,0.063,-0.036,-0.28,0.3,-0.3,0.698,0.062,-0.068,0.679,0.081,-0.047,,,,q1_q17_dr25_stellar,290.87305,37.362179,15.572,16.415,15.535,15.211,15.044,13.929,13.382,13.289,0.269,19.3915,4e-05,37.36209,0.0004,-1.5,1.7,-0.3,1.4,0.00078,0.00081,-0.00019,0.00068,-1.07,0.84,0.13,0.35,1.08,0.83,-0.95,0.85,0.4,0.32,1.03,0.79
6189,6608090,K05303.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,438.81524,0.03031,-0.03031,307.9493,0.0267,-0.0267,2455140.949,0.0267,-0.0267,0.0,,,,,,0.108,0.3367,-0.1079,6.75,1.0,-1.0,,,,332.8,55.4,-55.4,0.016477,0.001444,-0.001643,12.44843,1.85791,-12.15488,MCMC,1.36,0.34,-0.13,1.0225,,,89.95,,,202.0,,,0.39,0.31,-0.1,502.3,75.0,-75.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2433,0.4386,q1_q16_koi,,,9.2,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,006/006608/006608090/dv/kplr006608090-20130815195353_dvr.pdf,006/006608/006608090/dv/kplr006608090-001-20130826182306_dvs.pdf,5324.0,173.0,-137.0,4.551,0.057,-0.153,-0.4,0.38,-0.28,0.755,0.189,-0.071,0.739,0.134,-0.055,,,,stellar_q1_q16,292.41116,42.039478,13.589,14.174,13.53,13.338,13.22,12.242,11.825,11.756,0.171,19.494098,2.9e-05,42.03958,0.00032,0.8,1.2,0.4,1.1,-0.00021,0.00031,-0.00024,0.0003,2.29,0.84,-0.2,2.2,2.3,2.2,2.37,0.87,-0.5,2.3,2.4,1.7
7172,11393633,K05893.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,405.6296,0.02632,-0.02632,245.7373,0.0557,-0.0557,2455078.737,0.0557,-0.0557,0.0,,,,,,0.4652,0.0064,-0.4489,11.26,2.1,-2.1,,,,304.3,59.1,-59.1,0.016212,0.001277,-0.002105,1.76578,2.1433,-1.75396,MCMC,1.4,0.53,-0.11,1.0226,,,89.95,,,216.0,,,0.52,0.58,-0.12,249.0,101.0,-101.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2608,0.4066,q1_q16_koi,,,5.8,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,011/011393/011393633/dv/kplr011393633-20130815195353_dvr.pdf,011/011393/011393633/dv/kplr011393633-001-20130826182306_dvs.pdf,5583.0,159.0,-144.0,4.58,0.03,-0.24,-0.26,0.33,-0.26,0.79,0.299,-0.059,0.865,0.094,-0.088,,,,stellar_q1_q16,286.55554,49.240501,15.006,15.551,14.952,14.773,14.697,13.751,13.359,13.236,0.001,19.103638,6.7e-05,49.23946,0.00058,-2.3,2.4,-3.7,2.1,0.00084,0.00092,0.00151,0.00081,1.1,1.2,0.37,0.35,1.2,1.1,0.8,1.2,0.37,0.43,0.9,1.1
2661,3642335,K03010.01,Kepler-1410 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,60.8660974,0.0006497,-0.0006497,179.28674,0.00787,-0.00787,2455012.287,0.00787,-0.00787,0.0,,,,,,0.004,0.463,-0.004,4.397,0.238,-0.238,,,,714.3,53.7,-53.7,0.024307,0.001273,-0.001109,6.48899,0.04423,-3.57545,LS+MCMC,1.39,0.07,-0.1,0.2465,,,90.0,,,244.0,,,0.84,0.17,-0.16,108.315,0.738,-0.738,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3037,0.4224,q1_q17_dr25_koi,3.7375264,12.681502,15.4,1,23.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.9058,Mandel and Agol (2002 ApJ 580 171),,,003/003642/003642335/dv/kplr003642335-20160209194854_dvr.pdf,003/003642/003642335/dv/kplr003642335-001-20160209194854_dvs.pdf,3808.0,69.0,-76.0,4.734,0.033,-0.027,-0.02,0.15,-0.15,0.522,0.028,-0.035,0.539,0.03,-0.037,,,,q1_q17_dr25_stellar,290.51019,38.743542,15.757,17.121,15.759,15.173,14.829,13.586,12.906,12.767,0.052,19.367387,2.5e-05,38.74388,0.00024,1.7,1.0,1.21,0.86,-0.00096,0.00079,-0.00052,0.00066,-0.25,0.5,-0.56,0.73,0.62,0.79,0.51,0.48,-0.21,0.37,0.55,0.47
5208,8424002,K03497.01,Kepler-1512 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.35971899,5.479e-05,-5.479e-05,134.29123,0.00218,-0.00218,2454967.291,0.00218,-0.00218,0.0,,,,,,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,,,,345.7,15.2,-15.2,0.021227,0.000297,-0.004041,1.4014,20.04235,-0.11488,LS+MCMC,0.8,0.12,-0.16,0.1025,,,88.31,,,276.0,,,1.38,0.58,-0.58,31.3,15.4,-15.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.366,0.3573,q1_q17_dr25_koi,4.860193,19.605627,26.8,1,65.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9164,Mandel and Agol (2002 ApJ 580 171),,,008/008424/008424002/dv/kplr008424002-20160209194854_dvr.pdf,008/008424/008424002/dv/kplr008424002-001-20160209194854_dvs.pdf,3419.0,67.0,-76.0,4.904,0.084,-0.052,0.04,0.15,-0.15,0.344,0.051,-0.07,0.346,0.066,-0.081,,,,q1_q17_dr25_stellar,289.27451,44.470322,13.393,14.384,13.358,12.967,,11.315,10.75,10.623,0.09,19.2849838,9.8e-06,44.47032,0.00012,0.66,0.38,0.0,0.42,-0.00019,0.00013,6e-05,0.00014,-0.05,0.15,0.14,0.23,0.14,0.22,0.0,0.16,0.37,0.25,0.37,0.25
6544,9292100,K05652.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,91.507044,0.001381,-0.001381,184.2723,0.0132,-0.0132,2455017.272,0.0132,-0.0132,0.0,,,,,,0.1665,0.2766,-0.1665,5.019,0.326,-0.326,,,,539.0,56.1,-56.1,0.020947,0.001645,-0.001061,6.23723,1.12823,-3.18739,MCMC,1.43,5.41,-0.11,0.3385,,,89.95,,,302.0,,,1.97,49.96,-0.48,140.3,25.4,-25.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2342,0.4586,q1_q16_koi,,,12.4,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,009/009292/009292100/dv/kplr009292100-20130815195353_dvr.pdf,009/009292/009292100/dv/kplr009292100-001-20130826182306_dvs.pdf,5040.0,183.0,-143.0,4.635,0.056,-1.207,-0.84,0.38,-0.28,0.626,2.363,-0.05,0.616,0.263,-0.029,,,,stellar_q1_q16,296.05667,45.76976,14.969,15.724,14.95,14.645,14.469,13.377,12.783,12.72,0.03,19.737081,2.4e-05,45.76987,0.00027,-1.15,0.89,0.39,0.98,0.00042,0.00044,-0.00051,0.00049,-0.29,0.51,0.23,0.38,0.37,0.49,-0.44,0.44,0.13,0.35,0.46,0.36
9323,9084569,K07923.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.75,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,395.13138,0.02017,-0.02017,162.7395,0.0331,-0.0331,2454995.74,0.0331,-0.0331,0.0,,,,,,0.45,0.045,-0.429,21.291,0.916,-0.916,,,,126.4,9.8,-9.8,0.010265,0.00031,-0.000844,0.25538,0.12412,-0.05269,LS+MCMC,0.97,0.12,-0.1,1.0016,,,89.8,,,208.0,,,0.44,0.2,-0.13,128.2,62.3,-62.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1405,0.5896,q1_q17_dr25_koi,7.225203,10.02911,14.4,1,4.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1245,Mandel and Agol (2002 ApJ 580 171),,,009/009084/009084569/dv/kplr009084569-20160209194854_dvr.pdf,009/009084/009084569/dv/kplr009084569-002-20160209194854_dvs.pdf,5060.0,192.0,-174.0,4.493,0.08,-0.088,0.32,0.1,-0.3,0.869,0.1,-0.091,0.856,0.062,-0.062,,,,q1_q17_dr25_stellar,290.19992,45.419998,12.642,13.196,12.589,12.404,,11.028,10.58,10.478,0.132,19.346672,3e-05,45.42027,0.00028,0.4,1.2,1.0,1.0,-6e-05,0.00015,-0.00013,0.00013,1.5,1.5,-0.24,0.6,1.5,1.6,1.3,1.4,-0.33,0.63,1.4,1.5
4704,10139390,K04798.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,358.56462,0.03422,-0.03422,151.8698,0.0494,-0.0494,2454984.87,0.0494,-0.0494,0.0,,,,,,0.4108,0.0582,-0.3973,11.64,1.6,-1.6,,,,170.2,26.3,-26.3,0.012051,0.000967,-0.001166,1.51888,1.08684,-0.86391,MCMC,0.99,1.41,-0.11,0.8778,,,89.95,,,219.0,,,0.55,3.13,-0.16,217.7,77.9,-77.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3619,q1_q16_koi,,,9.6,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5375.0,176.0,-146.0,4.531,0.083,-0.756,-0.56,0.36,-0.28,0.752,1.075,-0.082,0.7,0.167,-0.041,,,,stellar_q1_q16,291.17566,47.10561,13.542,14.118,13.495,13.295,13.175,12.199,11.783,11.705,,,,,,,,,,,,,,,,,,,,,,,,,
6433,5091808,K05123.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,288.94276,0.01534,-0.01534,193.4457,0.0419,-0.0419,2455026.446,0.0419,-0.0419,0.0,,,,,,0.2515,0.1851,-0.251,11.43,1.3,-1.3,,,,160.6,24.2,-24.2,0.011657,0.000642,-0.001411,1.53641,0.28783,-1.52216,MCMC,1.05,0.56,-0.13,0.7687,,,89.95,,,265.0,,,1.16,1.9,-0.37,189.3,35.5,-35.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.288,0.3489,q1_q16_koi,,,6.7,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,005/005091/005091808/dv/kplr005091808-20130815195353_dvr.pdf,005/005091/005091808/dv/kplr005091808-001-20130826182306_dvs.pdf,5786.0,185.0,-143.0,4.463,0.122,-0.338,-0.82,0.36,-0.26,0.827,0.434,-0.108,0.724,0.116,-0.032,,,,stellar_q1_q16,289.53738,40.21331,14.242,14.73,14.214,14.032,13.948,13.044,12.675,12.634,0.105,19.302472,3.9e-05,40.21278,0.00045,-0.8,1.6,-1.9,1.6,0.00012,0.00026,0.00029,0.00027,1.32,0.96,-0.5,2.3,1.4,1.2,1.25,0.97,-0.5,2.3,1.4,1.3
6398,3540873,K04986.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,444.04257,0.02842,-0.02842,334.6734,0.0399,-0.0399,2455167.673,0.0399,-0.0399,0.0,,,,,,0.062,0.3936,-0.062,10.9,1.1,-1.1,,,,417.4,63.7,-63.7,0.018717,0.001635,-0.00162,3.03991,0.3194,-1.96584,MCMC,1.48,0.47,-0.08,1.0603,,,89.95,,,211.0,,,0.47,0.43,-0.1,316.4,33.2,-33.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3069,0.3175,q1_q16_koi,,,7.4,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,003/003540/003540873/dv/kplr003540873-20130815195353_dvr.pdf,003/003540/003540873/dv/kplr003540873-001-20130826182306_dvs.pdf,5776.0,167.0,-149.0,4.622,0.026,-0.199,-0.72,0.34,-0.28,0.726,0.228,-0.042,0.807,0.081,-0.076,,,,stellar_q1_q16,290.3548,38.672531,14.795,15.276,14.759,14.588,14.512,13.621,13.268,13.195,0.254,19.357008,3.6e-05,38.67225,0.00046,0.9,1.5,-1.0,1.7,-0.00047,0.0007,0.00041,0.00077,0.49,0.38,-0.72,0.47,0.87,0.44,0.4,0.36,-0.75,0.46,0.85,0.44
9480,9239670,K08282.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.116,1,0,0,0,q1_q17_dr25_sup_koi,MOD_NONUNIQ_ALT---CENT_FEW_DIFFS,456.55308,0.01288,-0.01288,527.3529,0.0172,-0.0172,2455360.353,0.0172,-0.0172,0.0,,,,,,0.673,0.038,-0.5,4.435,0.609,-0.609,,,,116.2,20.1,-20.1,0.010443,0.000315,-0.001605,18.90307,47.32209,-18.00829,LS+MCMC,1.48,0.32,-0.39,1.117,,,89.93,,,270.0,,,1.26,0.78,-0.64,593.0,247.0,-247.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2736,0.3819,q1_q17_dr25_koi,5.063098,7.491992,7.3,1,3.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.3678,Mandel and Agol (2002 ApJ 580 171),,,009/009239/009239670/dv/kplr009239670-20160209194854_dvr.pdf,009/009239/009239670/dv/kplr009239670-001-20160209194854_dvs.pdf,5678.0,142.0,-128.0,4.161,0.26,-0.14,-0.16,0.35,-0.2,1.298,0.278,-0.34,0.891,0.135,-0.073,,,,q1_q17_dr25_stellar,298.90518,45.61084,11.858,12.313,11.783,11.663,11.592,10.698,10.385,10.289,0.003,19.926992,5.1e-05,45.61192,0.00056,-0.7,1.9,3.9,2.0,0.00011,0.00024,-0.00045,0.00025,1.95,0.9,-1.25,0.58,2.32,0.82,1.89,0.9,-0.85,0.48,2.07,0.84
3581,9950612,K00719.03,Kepler-220 e,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,45.9029768,0.0001654,-0.0001654,166.55667,0.00283,-0.00283,2454999.557,0.00283,-0.00283,0.0,,,,,,0.303,0.135,-0.303,5.0041,0.0815,-0.0815,,,,361.8,8.9,-8.9,0.016968,0.000434,-0.00052,2.827,0.51557,-0.69399,LS+MCMC,1.18,0.05,-0.06,0.2166,,,89.74,,,341.0,,,3.19,0.54,-0.53,68.0,12.4,-12.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0833,0.6584,q1_q17_dr25_koi,12.081388,36.883266,42.9,4,29.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1564,Mandel and Agol (2002 ApJ 580 171),,,009/009950/009950612/dv/kplr009950612-20160209194854_dvr.pdf,009/009950/009950612/dv/kplr009950612-002-20160209194854_dvs.pdf,4499.0,89.0,-89.0,4.635,0.032,-0.02,-0.26,0.15,-0.15,0.639,0.025,-0.032,0.643,0.035,-0.032,,,,q1_q17_dr25_stellar,291.50616,46.895741,13.177,13.823,13.125,12.899,,11.206,10.672,10.55,0.105,19.4337396,7.4e-06,46.895729,6.3e-05,-0.19,0.27,-0.05,0.23,1e-05,0.00011,-0.000109,9.1e-05,0.06,0.3,-0.15,0.32,0.16,0.37,-0.13,0.3,-0.33,0.36,0.35,0.29
7188,6364582,K03456.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,486.12702,0.02185,-0.02185,426.1722,0.0308,-0.0308,2455259.172,0.0308,-0.0308,0.0,,,,,,0.3621,0.0933,-0.3621,9.495,0.82,-0.82,,,,120.6,15.6,-15.6,0.01017,0.000698,-0.000788,4.01742,1.75276,-1.72744,MCMC,1.18,0.44,-0.16,1.1989,,,89.95,,,249.0,,,0.91,1.0,-0.3,369.0,161.0,-161.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3451,q1_q16_koi,,,8.1,2,,2.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,006/006364/006364582/dv/kplr006364582-20130815195353_dvr.pdf,006/006364/006364582/dv/kplr006364582-002-20130826182306_dvs.pdf,6008.0,156.0,-174.0,4.373,0.103,-0.255,-0.2,0.27,-0.28,1.062,0.397,-0.141,0.972,0.148,-0.108,,,,stellar_q1_q16,292.00204,41.786961,12.988,13.402,12.913,12.81,12.697,11.83,11.497,11.406,0.876,19.466789,3.8e-05,41.7869,0.00043,-0.5,1.5,-0.2,1.5,6e-05,0.00021,1e-05,0.00021,-0.67,0.2,0.8,1.4,1.0,1.1,-0.67,0.27,0.8,1.4,1.0,1.1
9346,5098334,K08253.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.067,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,400.11482,0.04988,-0.04988,316.2642,0.0343,-0.0343,2455149.264,0.0343,-0.0343,0.0,,,,,,0.066,0.531,-0.066,12.37,3.4,-3.4,,,,113.4,75.0,-75.0,0.009579,0.006681,-0.003317,1.82185,533.87683,-1.49711,LS+MCMC,0.95,0.13,-0.04,1.065,,,89.98,,,226.0,,,0.62,0.22,-0.08,249.0,124.0,-124.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,5.5992484,7.85773,6.7,1,4.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1161,Mandel and Agol (2002 ApJ 580 171),,,005/005098/005098334/dv/kplr005098334-20160209194854_dvr.pdf,005/005098/005098334/dv/kplr005098334-001-20160209194854_dvs.pdf,5547.0,74.0,-83.0,4.521,0.019,-0.11,0.24,0.15,-0.15,0.911,0.12,-0.038,1.005,0.036,-0.062,,,,q1_q17_dr25_stellar,291.52951,40.252918,13.521,14.035,13.465,13.301,13.201,12.314,12.005,11.927,0.092,19.435283,3.4e-05,40.25347,0.00045,-0.8,1.4,2.0,1.6,0.0001,0.00019,-0.00026,0.00022,0.718,0.067,-3.16,0.54,3.24,0.53,0.75,0.068,-3.22,0.5,3.31,0.49
