koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
FALSE POSITIVE,,1,0,0,0,410.88527,0.0122,-0.0122,202.8127,0.0175,-0.0175,2455035.813,0.0175,-0.0175,0.0,,,,,,100.196,0.7625,-37.53,24.1,1.1,-1.1,,,,2059.6,95.5,-95.5,99.230606,0.762451,-37.53878,5.08731,2.44368,-2.74624,200346.0,14530.0,-77180.0,1.5122,,,73.91,,,774.0,,,84.63,18.67,-57.25,357.0,171.0,-171.0,0.0,0.0,0.1972,0.5061,8.3046665,8.359932,21.5,1,3.0,1.0,,,,5015.0,75.0,-191.0,2.34,0.03,-0.03,-0.5,0.08,-0.4,18.489,1.341,-7.123,2.725,0.236,-1.684,,,,290.72864,40.866501,12.962,13.744,12.933,12.626,12.431,11.352,10.819,10.714,0.022,19.3819085,4.1e-06,40.86651,0.00015,-0.01,0.17,0.05,0.53,0.00019,0.00071,0.001,0.0012,0.0,0.15,0.02,0.3,0.02,0.31,-0.01,0.16,0.09,0.3,0.09,0.3
FALSE POSITIVE,,1,0,0,0,581.0723,0.01742,-0.01742,371.0249,0.0232,-0.0232,2455204.025,0.0232,-0.0232,0.0,,,,,,88.7243,12.25,-25.75,15.81,1.3,-1.3,,,,1364.2,95.7,-95.7,87.751617,12.24355,-25.75085,13.62874,2.20611,-9.91999,161858.0,5884.0,-72650.0,2.0345,,,81.93,,,639.0,,,39.36,6.71,-30.0,624.0,101.0,-101.0,0.0,0.0,0.1787,0.5409,8.733729,9.735018,15.9,1,3.0,1.0,,,,5026.0,109.0,-298.0,2.504,0.033,-0.033,0.07,0.14,-0.53,16.891,0.614,-7.582,3.319,0.047,-2.27,,,,297.62296,46.75386,12.282,13.121,12.225,11.923,11.72,10.618,10.062,9.961,0.012,19.8415258,4.9e-06,46.753878,4.7e-05,-0.15,0.18,0.06,0.17,0.00012,0.00058,-0.0003,0.00081,-0.36,0.13,-0.37,0.11,0.52,0.12,-0.424,0.093,-0.523,0.09,0.673,0.091
FALSE POSITIVE,0.0,1,0,0,1,0.566805887,,,131.8203886,,,2454964.82,,,0.0,,,,,,0.762,,,5.2317,,,,,,1.7,,,0.001289,0.0,0.0,0.06457,0.0,0.0,0.08,0.0,-0.01,0.0111,,,42.38,,,1554.0,,,1368.32,315.19,-285.73,1.031211,,,0.0,0.0,0.3077,0.3622,3.3026733,10.42666,0.8,1,2373.0,1.0,0.9998,,,5000.0,150.0,-150.0,4.708,0.049,-0.021,-1.58,0.3,-0.25,0.549,0.025,-0.03,0.561,0.038,-0.017,,,,291.60175,42.86388,14.648,15.318,14.626,14.361,14.21,13.251,12.752,12.632,0.036,19.440279,9.6e-05,42.8632,0.001,6.4,3.8,-2.5,3.7,-5.3e-05,3.1e-05,1.9e-05,3e-05,-0.53,0.64,-0.83,0.9,0.98,0.83,-0.56,0.63,-0.96,0.9,1.11,0.84
FALSE POSITIVE,0.001,0,0,1,0,1.26132769,6.672e-06,-6.672e-06,132.4274,0.00393,-0.00393,2454965.427,0.00393,-0.00393,0.0,,,,,,0.289,0.177,-0.289,1.244,0.117,-0.117,,,,109.7,10.5,-10.5,0.009772,0.00047,-0.000642,5.05732,0.68193,-3.07859,0.14,0.0,0.0,0.0108,,,87.8,,,447.0,,,9.46,0.0,0.0,7.52,1.0,-1.0,0.0,0.0,0.366,0.3573,4.16659,9.864657,9.9,1,1059.0,1.0,0.9469,,,2900.0,0.0,0.0,5.224,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.107,0.0,0.0,,,,288.11703,38.437733,15.918,17.219,15.904,15.359,,11.201,10.647,10.311,0.0,19.208032,2.6e-05,38.43439,0.00031,9.7,1.1,-12.0,1.1,-0.000522,9.2e-05,0.000794,9e-05,3.04,0.16,-3.53,0.2,4.66,0.23,6.43,0.12,-5.85,0.15,8.69,0.15
CANDIDATE,,0,0,0,0,129995.7784,0.0,0.0,393.59962,0.00305,-0.00305,2455226.6,0.00305,-0.00305,0.0,,,,,,0.7127,0.1831,-0.1239,9.408,0.198,-0.198,,,,1474.9,46.8,-46.8,0.037707,0.006342,-0.001812,564.89948,396.66638,-5.366,2.99,0.16,-0.21,44.9892,,,89.95,,,25.0,,,0.0,0.0,0.0,79614.0,27952.0,-27952.0,0.0,0.0,0.0625,0.6915,,,35.7,1,,,,,,4500.0,153.0,-119.0,4.572,0.042,-0.028,0.2,0.2,-0.26,0.726,0.039,-0.052,0.717,0.054,-0.049,,,,296.82162,47.354031,13.447,14.498,13.406,12.997,12.712,11.607,10.972,10.843,,,,,,,,,,,,,,,,,,,,,,,,,
CANDIDATE,,0,0,0,0,2190.7010353,0.0,0.0,140.04806,0.00186,-0.00186,2454973.048,0.00186,-0.00186,0.0,,,,,,0.2597,0.2254,-0.1878,19.891,0.148,-0.148,,,,1874.2,21.7,-21.7,0.038811,0.000739,-0.000661,2.38901,0.3025,-0.40371,3.12,0.16,-0.19,2.9456,,,89.95,,,109.0,,,0.03,0.01,0.0,846.0,107.0,-107.0,0.0,0.0,0.1651,0.5499,,,94.8,2,,,,,,4965.0,109.0,-89.0,4.555,0.048,-0.024,-0.22,0.16,-0.14,0.736,0.037,-0.044,0.709,0.053,-0.029,,,,295.43433,44.53112,12.96,13.613,12.901,12.68,12.539,11.503,11.083,10.977,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE POSITIVE,,0,0,0,0,0.241842544,3.27e-07,-3.27e-07,131.86819,0.00111,-0.00111,2454964.868,0.00111,-0.00111,0.0,,,,,,0.3064,0.149,-0.3063,0.7257,0.0513,-0.0513,,,,203.3,10.5,-10.5,0.013375,0.000443,-0.000551,5.31236,0.87927,-2.26444,1.16,0.4,-0.09,0.0073,,,83.08,,,2689.0,,,12357.89,12283.45,-2935.33,2.542,0.421,-0.421,0.0,0.0,0.2907,0.3464,,,29.3,1,,,,,,5834.0,152.0,-161.0,4.577,0.031,-0.223,-0.44,0.3,-0.28,0.797,0.272,-0.061,0.875,0.095,-0.094,,,,288.24615,43.135841,15.525,16.008,15.479,15.319,15.241,14.327,13.933,13.852,,,,,,,,,,,,,,,,,,,,,,,,,
CANDIDATE,1.0,0,0,0,0,0.259819659,4.04e-07,-4.04e-07,131.85061,0.00137,-0.00137,2454964.851,0.00137,-0.00137,0.0,,,,,,0.972,0.041,-0.724,0.6513,0.0577,-0.0577,,,,231.5,12.8,-12.8,0.021215,0.000191,-0.005704,0.73023,23.74627,-0.59582,1.22,0.08,-0.08,0.0065,,,45.08,,,1559.0,,,1410.9,285.54,-257.11,1.376,0.678,-0.678,0.0,0.0,0.2589,0.4639,4.4878383,10.696639,24.1,1,2180.0,1.0,1.0,,,3939.0,55.0,-62.0,4.736,0.028,-0.035,-0.2,0.2,-0.2,0.526,0.035,-0.035,0.55,0.031,-0.039,,,,281.11646,43.28244,15.174,16.499,15.164,14.607,14.288,13.044,12.417,12.272,0.007,18.741034,1.2e-05,43.28236,0.00012,-2.47,0.46,-0.28,0.43,-2e-05,0.00011,0.000159,0.0001,2.8,1.3,-0.94,0.87,3.0,1.4,-1.1,1.2,0.55,0.94,1.2,1.5
FALSE POSITIVE,,1,0,0,0,374.318792,0.006991,-0.006991,431.5127,0.0296,-0.0296,2455264.513,0.0296,-0.0296,0.0,,,,,,0.8507,2.188,-0.8498,5.96,1.5,-1.5,,,,1541400.0,388600.0,-388600.0,2.732772,1.307166,-2.165199,717.00439,282.93353,-160.36061,243.21,104.2,-18.2,0.9836,,,89.95,,,241.0,,,0.79,1.05,-0.19,1745.0,688.0,-688.0,0.0,0.0,0.2976,0.3257,7167.7173,7697.6025,10.3,1,0.0,1.0,,,,5997.0,192.0,-188.0,4.572,0.03,-0.03,-0.5,0.3,-0.28,0.815,0.349,-0.061,0.904,0.103,-0.1,,,,296.20227,39.40519,15.369,15.869,15.342,15.155,15.066,14.209,13.788,13.734,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE POSITIVE,0.0,0,1,0,0,1.811461128,8.6e-08,-8.6e-08,132.9324534,3.85e-05,-3.85e-05,2454965.932,3.85e-05,-3.85e-05,0.0,,,,,,0.309,0.002,-0.002,8.42343,0.00471,-0.00471,,,,921670.0,281.0,-281.0,1.128143,0.001175,-0.001479,0.29091,0.00079,-0.00093,373.77,94.86,-176.3,0.0367,,,85.2,,,3438.0,,,33024.44,24899.8,-25312.31,3.6953,0.01,-0.01,0.0,0.0,0.2797,0.2672,1462.2104,14113.667,3934.3,1,0.0,1.0,-1.0,,,8572.0,238.0,-374.0,3.776,0.412,-0.137,-0.2,0.35,-0.35,3.034,0.77,-1.431,2.009,0.342,-0.471,,,,296.00156,45.448132,13.947,13.941,13.949,14.185,14.042,12.905,12.644,12.595,,19.733438215,7e-09,45.44813701,8e-08,0.05741,0.00028,0.02523,0.00029,,,,,0.004,0.067,0.006,0.067,0.007,0.067,0.092,0.071,0.097,0.068,0.134,0.071
