rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
5939,8435247,K01131.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.974,0,1,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,0.696125302,3.15e-07,-3.15e-07,354.767068,0.000318,-0.000318,2455187.767,0.000318,-0.000318,0.0,,,,,,1.219,0.196,-0.081,2.0054,0.0245,-0.0245,,,,14966.0,114.0,-114.0,0.386422,0.175889,-0.083861,0.39891,0.08383,-0.03979,LS+MCMC,28.44,3.25,-2.66,0.0133,,,55.84,,,1645.0,,,1739.43,770.69,-498.3,2.17,0.456,-0.456,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3888,q1_q17_dr25_koi,32.67457,41.593784,177.2,1,1627.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.8048,Mandel and Agol (2002 ApJ 580 171),,,008/008435/008435247/dv/kplr008435247-20160209194854_dvr.pdf,008/008435/008435247/dv/kplr008435247-001-20160209194854_dvs.pdf,5245.0,201.0,-182.0,4.594,0.077,-0.056,-0.76,0.3,-0.3,0.674,0.077,-0.063,0.652,0.08,-0.032,,,,q1_q17_dr25_stellar,293.539,44.494919,15.464,16.139,15.431,15.175,14.987,13.924,13.396,13.316,0.0,19.5692388,4.1e-06,44.494845,3.1e-05,-1.08,0.16,-0.27,0.11,-0.00157,0.00024,0.00154,0.00027,1.16,0.21,-1.59,0.39,1.97,0.43,-0.236,0.074,-0.088,0.074,0.252,0.072
9560,10090151,K07985.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---CENT_UNRESOLVED_OFFSET,0.527698548,1.16e-07,-1.16e-07,131.705093,0.00017,-0.00017,2454964.705,0.00017,-0.00017,0.0,,,,,,1.252,0.051,-0.049,3.2221,0.0174,-0.0174,,,,1579.2,4.6,-4.6,0.297633,0.044899,-0.052116,0.16318,0.01693,-0.01718,LS+MCMC,29.35,7.7,-2.57,0.0128,,,20.78,,,2088.0,,,4500.53,3406.38,-1175.26,1.339,0.139,-0.139,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,21.33592,223.1414,453.3,1,2026.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,-1.0,Mandel and Agol (2002 ApJ 580 171),,,010/010090/010090151/dv/kplr010090151-20160209194854_dvr.pdf,010/010090/010090151/dv/kplr010090151-001-20160209194854_dvs.pdf,5638.0,139.0,-166.0,4.529,0.035,-0.196,0.14,0.2,-0.3,0.903,0.237,-0.079,1.005,0.084,-0.115,,,,q1_q17_dr25_stellar,297.18875,47.093819,14.082,14.082,13.501,13.299,13.177,12.2,11.814,11.756,0.0,19.8126043,1.8e-06,47.093686,1.7e-05,0.792,0.067,-0.484,0.06,-0.000237,2.7e-05,0.000178,2.5e-05,2.132,0.075,-1.757,0.068,2.763,0.074,2.344,0.072,-1.756,0.068,2.929,0.072
959,6629332,K01227.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---DEEP_V_SHAPED,2.155278342,1.009e-06,-1.009e-06,133.576109,0.000394,-0.000394,2454966.576,0.000394,-0.000394,0.0,,,,,,0.926,3.878,-0.081,2.1064,0.0248,-0.0248,,,,20739.0,182.0,-182.0,0.18861,3.780909,-0.035211,0.84132,4.25792,-0.16824,LS+MCMC,16.89,3.93,-1.57,0.0316,,,80.99,,,1272.0,,,620.67,428.23,-162.39,5.91,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,175.74431,2422.5334,142.7,1,615.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0,Mandel and Agol (2002 ApJ 580 171),,,006/006629/006629332/dv/kplr006629332-20160209194854_dvr.pdf,006/006629/006629332/dv/kplr006629332-001-20160209194854_dvs.pdf,5665.0,152.0,-152.0,4.568,0.038,-0.152,-0.2,0.3,-0.3,0.82,0.191,-0.076,0.916,0.092,-0.112,,,,q1_q17_dr25_stellar,297.70712,42.047371,13.997,14.493,13.931,13.785,13.687,12.746,12.431,12.355,0.0,19.84714569,1.1e-07,42.0474079,1.1e-06,0.1478,0.0045,0.1364,0.0041,0.00154,0.00081,0.0014,0.0011,-0.005,0.067,-0.013,0.067,0.014,0.067,0.055,0.067,0.115,0.067,0.127,0.067
6326,4769799,K05086.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---MOD_ODDEVEN_ALT---DEEP_V_SHAPED---CENT_SATURATED,21.92866538,1.096e-05,-1.096e-05,135.528574,0.000418,-0.000418,2454968.529,0.000418,-0.000418,0.0,,,,,,0.931,0.017,-0.012,9.7526,0.0243,-0.0243,,,,22178.0,52.2,-52.2,0.19952,0.009219,-0.008896,0.08689,0.00092,-0.00272,LS+MCMC,65.97,14.47,-9.65,0.1526,,,85.9,,,983.0,,,220.41,125.19,-67.34,13.023,0.138,-0.138,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1747,0.5405,q1_q17_dr25_koi,243.11479,1243.4851,664.6,1,62.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7185,Mandel and Agol (2002 ApJ 580 171),,,004/004769/004769799/dv/kplr004769799-20160209194854_dvr.pdf,004/004769/004769799/dv/kplr004769799-001-20160209194854_dvs.pdf,5001.0,67.0,-60.0,3.469,0.125,-0.137,-0.24,0.15,-0.1,3.028,0.664,-0.443,0.985,0.208,-0.089,,,,q1_q17_dr25_stellar,297.31741,39.877972,10.946,11.629,10.913,10.653,10.523,9.494,9.073,8.908,0.0,19.821155359,5.3e-08,39.87807724,5.8e-07,-0.1923,0.0022,0.3861,0.0021,0.0004,0.0024,-0.0015,0.0032,-0.01,0.067,0.028,0.069,0.029,0.07,-0.218,0.072,0.299,0.071,0.37,0.074
1628,9536692,K01948.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED---CENT_UNRESOLVED_OFFSET,26.635216,0.0001595,-0.0001595,155.5577,0.00484,-0.00484,2454988.558,0.00484,-0.00484,0.0,,,,,,1.242,7.046,-0.078,5.949,0.229,-0.229,,,,1492.8,56.9,-56.9,0.287022,7.027602,-0.074255,0.04213,0.48355,-0.00942,LS+MCMC,27.64,4.8,-3.57,0.1627,,,83.88,,,536.0,,,19.45,10.67,-6.38,11.65,5.8,-5.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1959,0.5086,q1_q17_dr25_koi,6.813422,31.536983,30.6,1,50.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.2448,Mandel and Agol (2002 ApJ 580 171),,,009/009536/009536692/dv/kplr009536692-20160209194854_dvr.pdf,009/009536/009536692/dv/kplr009536692-001-20160209194854_dvs.pdf,5215.0,155.0,-155.0,4.455,0.108,-0.148,0.04,0.3,-0.25,0.882,0.153,-0.114,0.808,0.104,-0.056,,,,q1_q17_dr25_stellar,295.849,46.18129,15.551,16.296,15.488,15.232,15.057,14.068,13.591,13.497,0.0,19.723239,9.7e-06,46.180992,9.4e-05,-1.01,0.36,-1.07,0.34,0.00216,0.00054,0.00091,0.00053,-0.9,0.11,-1.46,0.13,1.71,0.12,-0.8,0.11,-1.62,0.12,1.8,0.12
5486,7031638,K07805.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---EPHEM_MATCH,1.13353095,1.495e-05,-1.495e-05,132.4414,0.0134,-0.0134,2454965.441,0.0134,-0.0134,0.0,,,,,,0.117,0.36,-0.117,3.17,0.276,-0.276,,,,18.5,1.9,-1.9,0.003967,0.000253,-0.000261,0.31896,0.36926,-0.14105,LS+MCMC,0.49,0.1,-0.06,0.0216,,,87.59,,,2006.0,,,3840.87,2511.45,-1238.56,2.79,1.1,-1.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3032,0.3147,q1_q17_dr25_koi,4.0540066,7.2643948,11.1,1,1187.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.2444,Mandel and Agol (2002 ApJ 580 171),,,007/007031/007031638/dv/kplr007031638-20160209194854_dvr.pdf,007/007031/007031638/dv/kplr007031638-001-20160209194854_dvs.pdf,6318.0,156.0,-203.0,4.36,0.081,-0.15,-0.18,0.25,-0.3,1.121,0.252,-0.136,1.046,0.16,-0.107,,,,q1_q17_dr25_stellar,291.15805,42.576279,13.145,13.505,13.106,12.991,12.991,12.142,11.883,11.847,0.058,19.410514,3.3e-05,42.57593,0.0003,-0.9,1.3,-1.3,1.1,2.7e-05,2e-05,1.4e-05,1.7e-05,-0.9,1.0,-0.51,0.57,1.02,0.99,-0.79,0.87,-0.62,0.58,1.01,0.86
1983,9006186,K02169.04,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.993,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.19251903,3.267e-05,-3.267e-05,132.2332,0.0104,-0.0104,2454965.233,0.0104,-0.0104,0.0,,,,,,0.616,0.362,-0.407,1.845,0.333,-0.333,,,,18.1,3.2,-3.2,0.004065,0.000165,-0.000619,1.49345,1.91812,-1.47728,LS+MCMC,0.37,0.05,-0.01,0.0324,,,85.12,,,1225.0,,,533.25,177.99,-78.86,7.24,3.1,-3.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2291,0.4603,q1_q17_dr25_koi,3.4573512,8.249636,6.6,4,524.0,4.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4634,Mandel and Agol (2002 ApJ 580 171),,,009/009006/009006186/dv/kplr009006186-20160209194854_dvr.pdf,009/009006/009006186/dv/kplr009006186-004-20160209194854_dvs.pdf,5450.0,108.0,-108.0,4.563,0.017,-0.094,0.1,0.15,-0.15,0.842,0.093,-0.033,0.944,0.039,-0.066,,,,q1_q17_dr25_stellar,285.20749,45.38435,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662,0.095,19.013789,2.3e-05,45.38434,0.00025,-1.64,0.87,-0.04,0.91,2.8e-05,1.7e-05,-1e-06,1.8e-05,-1.4,1.3,0.96,0.65,1.7,1.3,-1.5,1.2,0.89,0.55,1.8,1.1
4603,4851239,K04851.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,1,q1_q17_dr25_sup_koi,CENT_SATURATED---HALO_GHOST---EPHEM_MATCH,1.23512429,1.142e-05,-1.142e-05,132.00059,0.00673,-0.00673,2454965.001,0.00673,-0.00673,0.0,,,,,,0.556,0.404,-0.346,4.22,0.233,-0.233,,,,15.2,1.2,-1.2,0.003674,5.5e-05,-0.0003,0.10071,0.07359,-0.00492,LS+MCMC,0.38,0.05,-0.02,0.0228,,,73.93,,,1642.0,,,1722.78,573.54,-244.88,2.01,0.734,-0.734,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,3.741565,8.988491,15.7,1,874.0,1.0,q1_q17_dr25_tce,1.11110111011101e+31,0.3801,Mandel and Agol (2002 ApJ 580 171),,,004/004851/004851239/dv/kplr004851239-20160209194854_dvr.pdf,004/004851/004851239/dv/kplr004851239-001-20160209194854_dvs.pdf,5798.0,69.0,-86.0,4.507,0.018,-0.102,0.1,0.15,-0.15,0.941,0.12,-0.043,1.038,0.05,-0.068,,,,q1_q17_dr25_stellar,295.84006,39.931221,11.438,11.899,11.375,11.24,11.237,10.31,10.022,9.97,0.0,19.722717,2.2e-05,39.93038,0.00029,1.95,0.93,-3.0,1.0,-2.2e-05,1e-05,3.1e-05,1.1e-05,3.2,1.1,1.52,0.69,3.5,1.0,3.1,1.0,1.4,0.69,3.39,0.99
5533,7031898,K07807.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,1,q1_q17_dr25_sup_koi,HALO_GHOST---EPHEM_MATCH,0.566792595,9.9e-06,-9.9e-06,131.817,0.0146,-0.0146,2454964.817,0.0146,-0.0146,0.0,,,,,,0.068,0.418,-0.068,2.637,0.513,-0.513,,,,19.9,2.7,-2.7,0.004114,0.000297,-0.000354,0.31686,0.89606,-0.17518,LS+MCMC,0.5,0.1,-0.08,0.0132,,,87.78,,,2548.0,,,10020.28,6008.08,-3812.1,1.752,0.826,-0.826,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3026,q1_q17_dr25_koi,3.940297,8.568271,9.4,1,2368.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.5146,Mandel and Agol (2002 ApJ 580 171),,,007/007031/007031898/dv/kplr007031898-20160209194854_dvr.pdf,007/007031/007031898/dv/kplr007031898-001-20160209194854_dvs.pdf,6277.0,170.0,-189.0,4.322,0.135,-0.135,-0.44,0.3,-0.3,1.121,0.223,-0.183,0.961,0.135,-0.098,,,,q1_q17_dr25_stellar,291.24664,42.562382,12.982,13.312,12.941,12.841,12.829,12.022,11.768,11.718,0.0,19.416449,2.3e-05,42.5617,0.00023,0.24,0.91,-2.46,0.81,-6e-06,1.3e-05,3.4e-05,1.2e-05,-0.09,0.82,-1.66,0.66,1.66,0.63,-0.14,0.88,-1.74,0.62,1.74,0.58
4450,3330684,K04533.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.001,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET,1.26132769,6.672e-06,-6.672e-06,132.4274,0.00393,-0.00393,2454965.427,0.00393,-0.00393,0.0,,,,,,0.289,0.177,-0.289,1.244,0.117,-0.117,,,,109.7,10.5,-10.5,0.009772,0.00047,-0.000642,5.05732,0.68193,-3.07859,LS+MCMC,0.14,0.0,0.0,0.0108,,,87.8,,,447.0,,,9.46,0.0,0.0,7.52,1.0,-1.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.366,0.3573,q1_q17_dr25_koi,4.16659,9.864657,9.9,1,1059.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9469,Mandel and Agol (2002 ApJ 580 171),,,003/003330/003330684/dv/kplr003330684-20160209194854_dvr.pdf,003/003330/003330684/dv/kplr003330684-001-20160209194854_dvs.pdf,2900.0,0.0,0.0,5.224,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.107,0.0,0.0,,,,q1_q17_dr25_stellar,288.11703,38.437733,15.918,17.219,15.904,15.359,,11.201,10.647,10.311,0.0,19.208032,2.6e-05,38.43439,0.00031,9.7,1.1,-12.0,1.1,-0.000522,9.2e-05,0.000794,9e-05,3.04,0.16,-3.53,0.2,4.66,0.23,6.43,0.12,-5.85,0.15,8.69,0.15
