rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1998,10024051,K02409.01,Kepler-1228 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,0.577369336,3.95e-07,-3.95e-07,132.425795,0.000505,-0.000505,2454965.426,0.000505,-0.000505,0.0,,,,,,0.032,0.403,-0.032,1.0852,0.0203,-0.0203,,,,400.4,7.3,-7.3,0.01816,0.000572,-0.00021,4.14027,0.27944,-1.15148,LS+MCMC,1.42,0.2,-0.12,0.0125,,,89.56,,,1757.0,,,2239.26,1059.17,-554.65,4.179,0.282,-0.282,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2175,0.4767,q1_q17_dr25_koi,3.943266,22.317495,68.3,1,1850.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.8653,Mandel and Agol (2002 ApJ 580 171),,,010/010024/010024051/dv/kplr010024051-20160209194854_dvr.pdf,010/010024/010024051/dv/kplr010024051-001-20160209194854_dvs.pdf,5255.0,158.0,-142.0,4.617,0.039,-0.084,-0.34,0.3,-0.3,0.716,0.103,-0.06,0.776,0.086,-0.078,,,,q1_q17_dr25_stellar,296.55307,46.96629,14.859,15.505,14.806,14.582,14.46,13.383,12.877,12.799,0.022,19.7702036,9.2e-06,46.966065,9.6e-05,-0.06,0.34,-0.81,0.35,-7.7e-05,8.5e-05,0.000125,8.7e-05,-0.018,0.097,0.07,0.12,0.08,0.12,-0.548,0.099,-0.26,0.12,0.61,0.11
2702,8709688,K03019.01,Kepler-1893 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.963,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.17939037,2.877e-05,-2.877e-05,133.84818,0.0049,-0.0049,2454966.848,0.0049,-0.0049,0.0,,,,,,0.317,0.144,-0.317,2.647,0.132,-0.132,,,,172.8,12.2,-12.2,0.012013,0.000654,-0.000478,1.69464,0.86809,-0.45354,LS+MCMC,1.52,0.24,-0.23,0.0504,,,88.44,,,1194.0,,,478.98,194.07,-154.33,11.61,3.0,-3.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2555,0.4191,q1_q17_dr25_koi,3.3234406,13.931228,16.1,2,319.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8076,Mandel and Agol (2002 ApJ 580 171),,,008/008709/008709688/dv/kplr008709688-20160209194854_dvr.pdf,008/008709/008709688/dv/kplr008709688-001-20160209194854_dvs.pdf,5633.0,76.0,-76.0,4.296,0.15,-0.113,0.16,0.15,-0.15,1.162,0.179,-0.179,0.973,0.068,-0.056,,,,q1_q17_dr25_stellar,298.40137,44.838181,14.927,15.551,14.876,14.659,14.544,13.586,13.206,13.104,0.0,19.89344,2.3e-05,44.83747,0.00025,0.61,0.9,-2.57,0.91,-0.00015,0.00015,0.00042,0.00015,0.38,0.61,-0.03,0.53,0.38,0.64,0.33,0.59,-0.04,0.5,0.33,0.62
6862,9910043,K05732.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.992,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,39.399926,0.001194,-0.001194,160.2611,0.0223,-0.0223,2454993.261,0.0223,-0.0223,0.0,,,,,,0.544,0.437,-0.339,5.729,0.719,-0.719,,,,341.4,44.3,-44.3,0.017476,0.000623,-0.001971,1.12478,1.0206,-0.57532,LS+MCMC,1.52,0.32,-0.13,0.2172,,,89.31,,,499.0,,,14.66,9.17,-3.81,45.2,20.5,-20.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2979,0.3238,q1_q17_dr25_koi,3.399126,8.762972,9.4,1,28.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.8637,Mandel and Agol (2002 ApJ 580 171),,,009/009910/009910043/dv/kplr009910043-20160209194854_dvr.pdf,009/009910/009910043/dv/kplr009910043-001-20160209194854_dvs.pdf,5913.0,147.0,-177.0,4.581,0.036,-0.144,-0.5,0.25,-0.3,0.795,0.17,-0.068,0.898,0.077,-0.106,,,,q1_q17_dr25_stellar,298.5697,46.753971,15.453,15.915,15.412,15.255,15.181,14.299,13.946,13.901,0.002,19.90471,4.7e-05,46.75308,0.00053,2.3,1.7,-3.2,1.9,-0.00072,0.00051,0.00087,0.00057,0.64,0.41,0.21,0.89,0.67,0.48,0.55,0.44,0.15,0.91,0.57,0.49
517,8288947,K01142.01,Kepler-778 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.75574267,1.068e-05,-1.068e-05,133.4333,0.00243,-0.00243,2454966.433,0.00243,-0.00243,0.0,,,,,,0.127,0.313,-0.127,2.2911,0.0739,-0.0739,,,,417.4,17.5,-17.5,0.018377,0.000724,-0.000461,2.7269,0.22537,-0.97048,LS+MCMC,1.58,0.27,-0.12,0.0453,,,89.43,,,977.0,,,215.46,119.62,-53.06,12.67,1.0,-1.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1959,0.5086,q1_q17_dr25_koi,3.9658144,24.505842,27.9,1,354.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.3908,Mandel and Agol (2002 ApJ 580 171),,,008/008288/008288947/dv/kplr008288947-20160209194854_dvr.pdf,008/008288/008288947/dv/kplr008288947-001-20160209194854_dvs.pdf,5311.0,175.0,-159.0,4.588,0.035,-0.112,-0.04,0.3,-0.3,0.788,0.133,-0.061,0.884,0.07,-0.096,,,,q1_q17_dr25_stellar,287.47742,44.237511,15.764,16.428,15.702,15.479,15.376,14.351,13.852,13.788,0.093,19.165147,1.2e-05,44.23754,0.00014,-0.58,0.45,0.11,0.51,0.00031,0.00019,-3e-05,0.00021,-0.02,0.15,0.17,0.15,0.18,0.15,0.08,0.16,0.08,0.15,0.11,0.19
4191,10467714,K04480.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,58.7488629,0.0004987,-0.0004987,172.65025,0.00687,-0.00687,2455005.65,0.00687,-0.00687,0.0,,,,,,0.186,0.271,-0.186,3.191,0.172,-0.172,,,,473.6,38.1,-38.1,0.019865,0.000943,-0.001109,15.37282,2.26673,-6.21122,LS+MCMC,1.75,0.33,-0.23,0.2696,,,89.92,,,425.0,,,7.7,4.57,-2.43,141.0,20.8,-20.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,5.4182825,11.594376,13.6,1,24.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7991,Mandel and Agol (2002 ApJ 580 171),,,010/010467/010467714/dv/kplr010467714-20160209194854_dvr.pdf,010/010467/010467714/dv/kplr010467714-001-20160209194854_dvs.pdf,5574.0,166.0,-150.0,4.505,0.104,-0.127,-0.5,0.3,-0.3,0.805,0.153,-0.102,0.756,0.109,-0.047,,,,q1_q17_dr25_stellar,290.77655,47.64843,14.122,14.651,14.073,13.896,13.779,12.829,12.482,12.364,0.108,19.385119,1.7e-05,47.64852,0.00015,0.59,0.61,0.33,0.53,0.00017,0.00033,0.00029,0.0003,-1.03,0.38,-0.47,0.45,1.13,0.51,0.16,0.34,0.55,0.39,0.58,0.45
1884,4833421,K00232.04,Kepler-122 e,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,37.9962369,0.0001515,-0.0001515,162.97984,0.00331,-0.00331,2454995.98,0.00331,-0.00331,0.0,,,,,,0.023,0.395,-0.023,6.7751,0.0935,-0.0935,,,,403.7,11.0,-11.0,0.018389,0.00051,-0.000337,1.08783,0.00328,-0.37962,LS+MCMC,2.39,0.38,-0.38,0.221,,,89.97,,,618.0,,,34.55,15.66,-12.0,43.624,0.132,-0.132,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,q1_q17_dr25_koi,6.326053,24.713478,37.8,5,33.0,3.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8525,Mandel and Agol (2002 ApJ 580 171),,,004/004833/004833421/dv/kplr004833421-20160209194854_dvr.pdf,004/004833/004833421/dv/kplr004833421-003-20160209194854_dvs.pdf,6038.0,121.0,-121.0,4.284,0.137,-0.112,-0.16,0.15,-0.15,1.191,0.189,-0.189,0.995,0.082,-0.067,,,,q1_q17_dr25_stellar,291.11188,39.949108,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,,19.4074667,9.3e-06,39.94903,0.00011,0.33,0.38,-0.28,0.41,,,9e-05,0.00014,0.2,0.45,-0.49,0.27,0.52,0.28,0.19,0.44,-0.49,0.28,0.53,0.31
1815,9086251,K02367.01,Kepler-1833 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.89213244,3.308e-05,-3.308e-05,131.63179,0.00393,-0.00393,2454964.632,0.00393,-0.00393,0.0,,,,,,0.541,0.04,-0.446,1.725,0.114,-0.114,,,,82.0,6.0,-6.0,0.008563,0.000226,-0.000544,6.98346,7.12946,-0.8127,LS+MCMC,1.35,0.23,-0.19,0.0771,,,88.81,,,1177.0,,,454.45,214.98,-147.11,25.98,8.8,-8.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.307,0.3325,q1_q17_dr25_koi,28.695257,15.924351,17.3,1,195.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6774,Mandel and Agol (2002 ApJ 580 171),,,009/009086/009086251/dv/kplr009086251-20160209194854_dvr.pdf,009/009086/009086251/dv/kplr009086251-001-20160209194854_dvs.pdf,6164.0,110.0,-135.0,4.227,0.11,-0.11,0.38,0.05,-0.15,1.446,0.248,-0.203,1.286,0.081,-0.09,,,,q1_q17_dr25_stellar,290.87137,45.410301,12.618,12.951,12.557,12.475,12.436,11.588,11.359,11.29,0.038,19.391413,2.1e-05,45.41002,0.00021,-0.48,0.8,-1.0,0.76,3.4e-05,6.1e-05,7.5e-05,5.9e-05,-0.37,0.7,-0.19,0.26,0.42,0.58,-0.31,0.69,-0.26,0.26,0.41,0.48
1833,10798331,K02373.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.99,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,147.281212,0.001212,-0.001212,148.80124,0.00668,-0.00668,2454981.801,0.00668,-0.00668,0.0,,,,,,0.474,0.001,-0.455,7.375,0.217,-0.217,,,,452.8,30.0,-30.0,0.0198,0.000514,-0.001176,2.28018,1.39658,-0.08005,LS+MCMC,2.28,0.35,-0.29,0.5348,,,89.8,,,353.0,,,3.69,1.62,-1.08,137.8,42.2,-42.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,6.0648117,13.011319,17.3,1,8.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1597,Mandel and Agol (2002 ApJ 580 171),,,010/010798/010798331/dv/kplr010798331-20160209194854_dvr.pdf,010/010798/010798331/dv/kplr010798331-001-20160209194854_dvs.pdf,5708.0,114.0,-103.0,4.365,0.115,-0.103,0.0,0.15,-0.15,1.054,0.161,-0.135,0.939,0.071,-0.057,,,,q1_q17_dr25_stellar,292.31467,48.140461,14.685,15.179,14.589,14.473,14.358,13.476,13.133,13.053,0.02,19.487598,2.5e-05,48.1403,0.00025,-1.72,0.92,-0.58,0.89,0.00083,0.0004,0.00024,0.00039,-0.14,0.18,-0.7,1.0,0.7,1.0,-0.09,0.2,-0.7,1.0,0.7,1.0
1960,8505920,K02094.01,Kepler-1090 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.974,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,42.4269647,0.0003313,-0.0003313,156.17194,0.00663,-0.00663,2454989.172,0.00663,-0.00663,0.0,,,,,,0.962,0.051,-0.057,5.907,0.634,-0.634,,,,632.4,37.7,-37.7,0.031124,0.001898,-0.010655,0.08951,0.12321,-0.06042,LS+MCMC,3.44,0.55,-0.45,0.2274,,,87.3,,,496.0,,,14.33,6.12,-4.14,20.42,9.4,-9.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,q1_q17_dr25_koi,6.0824323,19.70963,26.0,2,33.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7336,Mandel and Agol (2002 ApJ 580 171),,,008/008505/008505920/dv/kplr008505920-20160209194854_dvr.pdf,008/008505/008505920/dv/kplr008505920-001-20160209194854_dvs.pdf,5330.0,79.0,-79.0,4.366,0.137,-0.125,0.18,0.15,-0.1,1.013,0.162,-0.133,0.869,0.065,-0.035,,,,q1_q17_dr25_stellar,295.66287,44.525841,15.001,15.668,14.956,14.715,14.591,13.596,13.148,13.07,0.388,19.710866,1.3e-05,44.52591,0.00015,0.31,0.51,0.27,0.53,-0.00022,0.00032,-0.00018,0.00034,-0.17,0.25,0.04,0.24,0.17,0.27,-0.14,0.24,0.01,0.26,0.14,0.25
1578,9758089,K01871.01,Kepler-1996 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,92.7297248,0.000398,-0.000398,177.43808,0.00347,-0.00347,2455010.438,0.00347,-0.00347,0.0,,,,,,0.857,0.056,-0.597,6.83,0.153,-0.153,,,,1257.5,31.9,-31.9,0.038187,0.003406,-0.006244,0.49438,2.30134,-0.23741,LS+MCMC,2.81,0.2,-0.08,0.3608,,,89.19,,,276.0,,,1.38,0.32,-0.19,60.8,28.3,-28.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0656,0.6854,q1_q17_dr25_koi,11.24588,31.68297,43.3,2,13.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4814,Mandel and Agol (2002 ApJ 580 171),,,009/009758/009758089/dv/kplr009758089-20160209194854_dvr.pdf,009/009758/009758089/dv/kplr009758089-001-20160209194854_dvs.pdf,4580.0,92.0,-92.0,4.641,0.012,-0.045,0.08,0.15,-0.15,0.675,0.046,-0.021,0.748,0.027,-0.043,,,,q1_q17_dr25_stellar,285.25366,46.582191,14.897,15.858,14.819,14.485,14.296,13.213,12.636,12.53,0.0,19.0168853,5.8e-06,46.582466,5.9e-05,-0.92,0.22,0.99,0.21,-0.00102,0.00031,0.00091,0.00034,3.94,0.31,-2.87,0.29,4.87,0.36,0.26,0.16,0.38,0.25,0.46,0.22
