rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
5136,5513861,K07731.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,SWEET_EB---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_ALT---CENT_NOFITS,0.755105584,4.6e-08,-4.6e-08,131.8133513,4.97e-05,-4.97e-05,2454964.813,4.97e-05,-4.97e-05,0.0,,,,,,0.732,0.034,-0.031,5.02374,0.00564,-0.00564,,,,250030.0,153.0,-153.0,0.58683,0.019587,-0.02207,0.2579,0.00776,-0.00846,LS+MCMC,76.26,10.96,-5.45,0.0173,,,68.32,,,2412.0,,,7996.1,3145.64,-1735.23,1.9809,0.0596,-0.0596,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3103,0.2947,q1_q17_dr25_koi,2409.1338,11467.141,2158.5,1,1378.0,1.0,q1_q17_dr25_tce,1.11101110111011e+31,-1.0,Mandel and Agol (2002 ApJ 580 171),,,005/005513/005513861/dv/kplr005513861-20160209194854_dvr.pdf,005/005513/005513861/dv/kplr005513861-001-20160209194854_dvs.pdf,6592.0,105.0,-157.0,4.369,0.032,-0.097,-0.12,0.15,-0.15,1.19,0.171,-0.085,1.211,0.077,-0.102,,,,q1_q17_dr25_stellar,284.35217,40.71471,11.638,11.92,11.581,11.517,11.52,10.7,10.462,10.429,,,,,,,,,,,,,,-0.025,0.067,-0.005,0.067,0.026,0.067,-0.094,0.069,-0.055,0.068,0.109,0.069
5604,2997178,K03814.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,SEASONAL_DEPTH_DV---SEASONAL_DEPTH_ALT---CENT_RESOLVED_OFFSET,5.95077813,1.26e-05,-1.26e-05,135.06469,0.00174,-0.00174,2454968.065,0.00174,-0.00174,0.0,,,,,,0.881,0.021,-0.614,5.6,0.126,-0.126,,,,761.8,12.3,-12.3,0.030058,0.000321,-0.004206,0.0464,0.26802,-0.01165,LS+MCMC,32.26,11.13,-22.26,0.0897,,,78.52,,,2366.0,,,7394.55,7123.11,-6794.35,4.43,2.1,-2.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1697,0.5559,q1_q17_dr25_koi,20.176033,75.78237,71.9,1,229.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.01,Mandel and Agol (2002 ApJ 580 171),,,002/002997/002997178/dv/kplr002997178-20160209194854_dvr.pdf,002/002997/002997178/dv/kplr002997178-001-20160209194854_dvs.pdf,5122.0,106.0,-212.0,2.886,0.585,-0.195,0.07,0.2,-0.4,9.828,3.39,-6.781,2.707,0.389,-1.555,,,,q1_q17_dr25_stellar,293.0748,38.16972,12.861,13.714,12.804,12.495,12.284,11.214,10.669,10.564,0.0,19.5384531,2.4e-06,38.178793,9.9e-05,5.65,0.1,32.66,0.36,-0.003434,7.1e-05,-0.02097,0.00024,0.921,0.071,9.623,0.073,9.667,0.073,1.081,0.067,9.634,0.068,9.694,0.068
3501,4752451,K00109.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET,6.41496453,1.252e-05,-1.252e-05,132.86482,0.00157,-0.00157,2454965.865,0.00157,-0.00157,0.0,,,,,,1.187,6.629,-0.013,3.9015,0.0902,-0.0902,,,,201.2,4.4,-4.4,0.19961,6.60196,-0.012632,0.00737,0.32351,-0.00053,LS+MCMC,25.79,5.27,-5.28,0.0659,,,61.93,,,1153.0,,,417.97,257.72,-184.3,2.52,1.3,-1.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3026,q1_q17_dr25_koi,13.643376,44.745174,53.1,1,172.0,1.0,q1_q17_dr25_tce,1.11110111011101e+31,0.3427,Mandel and Agol (2002 ApJ 580 171),,,004/004752/004752451/dv/kplr004752451-20160209194854_dvr.pdf,004/004752/004752451/dv/kplr004752451-001-20160209194854_dvs.pdf,6170.0,169.0,-188.0,4.259,0.186,-0.124,-0.46,0.3,-0.3,1.183,0.242,-0.242,0.927,0.136,-0.09,,,,q1_q17_dr25_stellar,293.45428,39.803928,12.385,12.763,12.344,12.223,12.175,11.335,11.062,10.98,0.0,19.5637819,7.7e-06,39.81523,0.00011,6.8,0.32,40.69,0.39,-0.001033,4.9e-05,-0.006196,6e-05,1.167,0.067,7.188,0.078,7.282,0.077,1.214,0.067,7.303,0.071,7.403,0.071
1320,8111381,K01550.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET,2.233799622,9.59e-07,-9.59e-07,134.720709,0.000346,-0.000346,2454967.721,0.000346,-0.000346,0.0,,,,,,1.249,1.543,-0.176,3.04,0.0173,-0.0173,,,,2658.5,13.9,-13.9,0.309919,1.521561,-0.16195,0.06306,0.18351,-0.00469,LS+MCMC,28.63,7.92,-2.64,0.0327,,,60.7,,,1287.0,,,650.73,527.42,-175.21,2.55,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,19.020744,241.85098,228.9,1,597.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6131,Mandel and Agol (2002 ApJ 580 171),,,008/008111/008111381/dv/kplr008111381-20160209194854_dvr.pdf,008/008111/008111381/dv/kplr008111381-001-20160209194854_dvs.pdf,5741.0,153.0,-170.0,4.555,0.035,-0.196,-0.16,0.3,-0.3,0.846,0.234,-0.078,0.938,0.095,-0.106,,,,q1_q17_dr25_stellar,296.36569,43.905571,15.195,15.749,15.146,14.957,14.861,13.948,13.558,13.543,0.0,19.7577429,1.7e-06,43.906073,1.8e-05,1.178,0.066,1.81,0.065,-0.00644,0.00021,-0.00445,0.00023,1.608,0.068,2.387,0.068,2.878,0.069,1.47,0.068,2.29,0.068,2.722,0.068
2554,2853828,K02896.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET,1.077467951,1.447e-06,-1.447e-06,131.58234,0.0011,-0.0011,2454964.582,0.0011,-0.0011,0.0,,,,,,1.181,0.611,-0.144,2.1125,0.0621,-0.0621,,,,75.7,1.9,-1.9,0.188607,0.608955,-0.140498,0.03491,0.0702,-0.00838,LS+MCMC,31.06,6.71,-6.72,0.0215,,,23.59,,,2339.0,,,7064.38,4553.2,-3219.88,1.289,0.518,-0.518,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.303,0.3166,q1_q17_dr25_koi,8.155228,23.41395,47.4,2,1238.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9226,Mandel and Agol (2002 ApJ 580 171),,,002/002853/002853828/dv/kplr002853828-20160209194854_dvr.pdf,002/002853/002853828/dv/kplr002853828-001-20160209194854_dvs.pdf,6329.0,170.0,-189.0,4.137,0.192,-0.128,-0.12,0.25,-0.3,1.508,0.326,-0.326,1.135,0.182,-0.136,,,,q1_q17_dr25_stellar,291.74017,38.014912,11.899,12.2,11.81,11.769,11.701,10.894,10.645,10.594,,19.4493219,8.2e-06,38.02066,0.00013,-0.94,0.35,20.68,0.48,4.9e-05,1.4e-05,,,-0.585,0.075,16.288,0.089,16.298,0.089,-0.731,0.075,16.284,0.078,16.301,0.078
5612,7910148,K03661.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---SEASONAL_DEPTH_DV---SEASONAL_DEPTH_ALT---CENT_UNRESOLVED_OFFSET---HALO_GHOST,4.252082243,1.158e-06,-1.158e-06,134.299947,0.000223,-0.000223,2454967.3,0.000223,-0.000223,0.0,,,,,,1.268,0.151,-0.097,2.7543,0.0123,-0.0123,,,,8290.5,40.6,-40.6,0.382184,0.133398,-0.099117,0.30329,0.01545,-0.01004,LS+MCMC,33.14,5.97,-4.34,0.0459,,,78.95,,,1064.0,,,303.48,177.62,-103.01,6.618,0.337,-0.337,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.308,0.3117,q1_q17_dr25_koi,44.199993,379.7555,254.8,1,317.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8248,Mandel and Agol (2002 ApJ 580 171),,,007/007910/007910148/dv/kplr007910148-20160209194854_dvr.pdf,007/007910/007910148/dv/kplr007910148-001-20160209194854_dvs.pdf,5802.0,191.0,-191.0,4.492,0.13,-0.13,-0.92,0.35,-0.3,0.794,0.143,-0.104,0.714,0.085,-0.03,,,,q1_q17_dr25_stellar,297.64441,43.632172,15.286,15.82,15.266,15.057,14.925,14.032,13.649,13.555,0.0,19.84279233,9.8e-07,43.627548,1.4e-05,-6.581,0.038,-16.641,0.05,0.02607,0.00043,0.06524,0.00059,-1.585,0.069,-3.869,0.067,4.181,0.067,-1.656,0.068,-4.061,0.067,4.385,0.067
579,3124412,K01087.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_ALT---CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,0.948950734,4.48e-07,-4.48e-07,134.368152,0.000395,-0.000395,2454967.368,0.000395,-0.000395,0.0,,,,,,1.246,0.243,-0.079,4.0245,0.0239,-0.0239,,,,2133.0,10.3,-10.3,0.298025,0.19521,-0.114376,0.06071,0.02334,-0.01514,LS+MCMC,36.87,12.63,-5.04,0.0198,,,28.98,,,2103.0,,,4636.91,4680.69,-1719.3,1.424,0.548,-0.548,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3239,q1_q17_dr25_koi,14.1689825,61.257576,238.6,1,1413.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7417,Mandel and Agol (2002 ApJ 580 171),,,003/003124/003124412/dv/kplr003124412-20160209194854_dvr.pdf,003/003124/003124412/dv/kplr003124412-001-20160209194854_dvs.pdf,6307.0,174.0,-261.0,4.391,0.07,-0.21,-0.02,0.25,-0.3,1.133,0.388,-0.155,1.152,0.169,-0.169,,,,q1_q17_dr25_stellar,293.24384,38.27327,14.909,15.343,14.839,14.723,14.647,13.746,13.518,13.492,0.0,19.5513592,5.2e-06,38.25711,5.9e-05,75.0,0.22,-58.18,0.21,-0.03328,9.8e-05,0.02561,9.5e-05,4.777,0.098,-5.078,0.075,6.972,0.097,4.676,0.074,-5.017,0.071,6.858,0.075
6240,5653163,K05190.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---CENT_SATURATED---EPHEM_MATCH,2.40435325,4.758e-05,-4.758e-05,133.2257,0.0221,-0.0221,2454966.226,0.0221,-0.0221,0.0,,,,,,1.202,2.052,-0.169,6.825,0.403,-0.403,,,,349.6,18.3,-18.3,0.221241,2.045485,-0.16053,0.00786,0.11109,-0.0023,LS+MCMC,24.16,0.0,0.0,0.0352,,,26.14,,,1359.0,,,806.18,0.0,0.0,1.339,0.653,-0.653,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,3.2969303,14.315593,23.3,1,259.0,1.0,q1_q17_dr25_tce,1.1111111e+22,0.0352,Mandel and Agol (2002 ApJ 580 171),,,005/005653/005653163/dv/kplr005653163-20160209194854_dvr.pdf,005/005653/005653163/dv/kplr005653163-001-20160209194854_dvs.pdf,5780.0,,,4.438,,,0.0,0.0,0.0,1.0,,,1.0,,,,,,Solar,299.71024,40.87804,10.63,18.27,,10.63,,14.684,13.655,13.297,0.0,19.980539,3.1e-05,40.88057,0.00032,-5.8,1.3,9.1,1.1,0.00133,0.00039,-0.00326,0.00035,0.36,0.7,11.6,1.2,11.6,1.2,-1.74,0.82,8.0,1.2,8.2,1.1
5024,3544694,K03629.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_DV---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED---CENT_KIC_POS,1.922862476,1.006e-06,-1.006e-06,132.735702,0.000598,-0.000598,2454965.736,0.000598,-0.000598,0.0,,,,,,1.001,0.036,-0.04,3.4594,0.0117,-0.0117,,,,101270.0,354.0,-354.0,0.496555,0.028152,-0.02977,0.59224,0.01324,-0.01206,LS+MCMC,70.65,21.42,-14.26,0.0312,,,78.15,,,1827.0,,,2631.95,2364.39,-1180.51,4.874,0.109,-0.109,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.31,0.2931,q1_q17_dr25_koi,256.50287,2233.577,362.1,1,326.0,1.0,q1_q17_dr25_tce,1.1111111e+22,-1.0,Mandel and Agol (2002 ApJ 580 171),,,003/003544/003544694/dv/kplr003544694-20160209194854_dvr.pdf,003/003544/003544694/dv/kplr003544694-001-20160209194854_dvs.pdf,6408.0,181.0,-227.0,4.246,0.153,-0.187,-0.22,0.25,-0.3,1.303,0.395,-0.263,1.087,0.193,-0.129,,,,q1_q17_dr25_stellar,291.44626,38.639778,15.925,16.436,15.931,15.707,15.63,14.83,14.42,14.266,0.0,19.429736301,7.6e-08,38.6395834,1.4e-06,-0.6073,0.0032,-0.7077,0.0052,-0.04,0.13,-0.09,0.16,1.22,0.19,0.92,0.39,1.53,0.37,0.076,0.067,-0.04,0.073,0.086,0.069
333,7684873,K00014.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_SATURATED,2.947376671,3.228e-06,-3.228e-06,171.522978,0.000883,-0.000883,2455004.523,0.000883,-0.000883,0.0,,,,,,2.641,10.99,-0.707,2.0911,0.0437,-0.0437,,,,433.2,8.5,-8.5,1.654364,10.97537,-0.706674,0.13115,7.12893,-0.08696,LS+MCMC,403.59,85.99,-105.0,0.0492,,,47.65,,,2404.0,,,7903.84,5082.12,-4259.41,3.92,2.0,-2.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3087,0.2583,q1_q17_dr25_koi,31.1108,318.7812,62.3,1,454.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1758,Mandel and Agol (2002 ApJ 580 171),,,007/007684/007684873/dv/kplr007684873-20160209194854_dvr.pdf,007/007684/007684873/dv/kplr007684873-001-20160209194854_dvs.pdf,8090.0,226.0,-340.0,4.002,0.198,-0.132,-0.14,0.25,-0.3,2.234,0.476,-0.581,1.828,0.144,-0.312,,,,q1_q17_dr25_stellar,292.61194,43.305141,10.47,10.475,10.469,10.572,10.661,9.942,9.872,9.837,0.0,19.507428,1.1e-06,43.305207,1.4e-05,-1.363,0.044,0.243,0.05,0.000535,1.8e-05,5.3e-05,2e-05,-3.54,0.3,-0.61,0.16,3.59,0.3,-3.45,0.18,-0.47,0.17,3.48,0.18
