rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
9400,6681618,K08265.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.128,1,0,0,0,q1_q17_dr25_sup_koi,ALL_TRANS_CHASES---CENT_FEW_DIFFS,364.42189,0.01675,-0.01675,303.9267,0.0258,-0.0258,2455136.927,0.0258,-0.0258,0.0,,,,,,1.276,70.08,-1.775,38.14,1.9,-1.9,,,,2498.0,112.0,-112.0,0.332378,70.05804,-1.759944,0.00314,1.19418,-0.00198,LS+MCMC,36.37,10.96,-3.67,1.0253,,,87.39,,,264.0,,,1.14,1.05,-0.35,28.0,14.0,-14.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2868,0.3588,q1_q17_dr25_koi,5.807944,8.149576,28.5,1,4.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.3787,Mandel and Agol (2002 ApJ 580 171),,,006/006681/006681618/dv/kplr006681618-20160209194854_dvr.pdf,006/006681/006681618/dv/kplr006681618-001-20160209194854_dvs.pdf,6047.0,190.0,-232.0,4.47,0.052,-0.208,0.0,0.25,-0.3,1.002,0.302,-0.101,1.081,0.13,-0.145,,,,q1_q17_dr25_stellar,288.77316,42.137081,15.975,16.48,15.922,15.758,15.698,14.82,14.365,14.374,0.002,19.25163,4.8e-05,42.13623,0.00063,3.4,1.9,-3.0,2.3,-0.0057,0.0036,0.0055,0.0043,1.7,3.4,-1.03,0.57,2.0,2.9,1.8,3.4,-1.14,0.55,2.1,2.9
7286,3645438,K04385.02,Kepler-1600 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.911,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,386.370512,0.008255,-0.008255,452.874,0.0103,-0.0103,2455285.874,0.0103,-0.0103,0.0,,,,,,0.01,0.441,-0.01,11.007,0.375,-0.375,,,,1336.4,94.4,-94.4,0.032485,0.00184,-0.001359,2.68951,0.2502,-0.94617,LS+MCMC,2.96,0.17,-0.19,0.9712,,,90.0,,,209.0,,,0.45,0.09,-0.08,276.9,25.8,-25.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,8.534833,13.001594,13.1,3,3.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.9993,Mandel and Agol (2002 ApJ 580 171),,,003/003645/003645438/dv/kplr003645438-20160209194854_dvr.pdf,003/003645/003645438/dv/kplr003645438-001-20160209194854_dvs.pdf,5119.0,82.0,-82.0,4.508,0.06,-0.04,0.1,0.15,-0.15,0.834,0.047,-0.052,0.818,0.053,-0.035,,,,q1_q17_dr25_stellar,291.39938,38.78775,15.825,16.549,15.756,15.514,15.397,14.351,13.903,13.896,0.086,19.426606,2.7e-05,38.78744,0.00039,-0.9,1.1,-1.1,1.4,0.0015,0.0016,0.0016,0.002,-0.38,0.91,-0.75,0.52,0.85,0.62,-0.43,0.93,-0.66,0.52,0.78,0.66
9554,10079317,K08194.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.024,1,0,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_MARSHALL---INCONSISTENT_TRANS,236.25776888,,,153.9570927,,,2454986.957,,,0.0,,,,,,0.085,,,3.3549,,,,,,168.4,,,0.011999,0.0,0.0,54.1184,0.0,0.0,LS,2.69,0.55,-0.83,0.8328,,,89.99,,,460.0,,,10.61,6.41,-6.11,542.525182,,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.318,0.2734,q1_q17_dr25_koi,7.849672,9.076957,5.3,1,6.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.2133,Mandel and Agol (2002 ApJ 580 171),,,010/010079/010079317/dv/kplr010079317-20160209194854_dvr.pdf,010/010079/010079317/dv/kplr010079317-001-20160209194854_dvs.pdf,6645.0,167.0,-200.0,3.952,0.266,-0.114,-0.2,0.3,-0.25,2.054,0.421,-0.632,1.382,0.198,-0.242,,,,q1_q17_dr25_stellar,293.50534,47.018719,12.885,13.161,12.833,12.767,12.75,11.881,11.63,11.6,0.709,19.567017,2.5e-05,47.01865,0.0003,-0.21,0.94,-0.3,1.1,3e-05,0.0002,0.0001,0.00023,-0.27,0.3,0.35,0.32,0.44,0.3,-0.25,0.22,0.32,0.44,0.4,0.37
6455,5166811,K05130.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,370.05918,0.02027,-0.02027,311.474,0.0452,-0.0452,2455144.474,0.0452,-0.0452,0.0,,,,,,0.0166,0.4255,-0.0166,11.86,1.3,-1.3,,,,669.8,90.4,-90.4,0.023161,0.001562,-0.002472,2.00147,0.61138,-1.13892,MCMC,1.9,0.44,-0.15,0.9386,,,89.95,,,206.0,,,0.43,0.31,-0.1,243.8,74.5,-74.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.203,0.4968,q1_q16_koi,,,8.6,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,005/005166/005166811/dv/kplr005166811-20130815195353_dvr.pdf,005/005166/005166811/dv/kplr005166811-001-20130826182306_dvs.pdf,5228.0,176.0,-141.0,4.592,0.031,-0.132,-0.18,0.34,-0.28,0.751,0.173,-0.058,0.806,0.105,-0.081,,,,stellar_q1_q16,284.46585,40.314941,15.612,16.297,15.556,15.318,15.199,14.162,13.7,13.566,0.193,18.964341,3.8e-05,40.31476,0.00045,-2.0,1.6,-0.6,1.6,0.0014,0.0013,0.0,0.0014,0.05,0.28,1.7,1.3,1.7,1.3,-0.29,0.29,1.1,1.3,1.1,1.2
6624,7757620,K05422.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,360.64485255,,,186.8852982,,,2455019.885,,,,,,,,,,,,11.19,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,q1_q16_koi,,,,1,,1.0,q1_q16_tce,,,,,,007/007757/007757620/dv/kplr007757620-20130815195353_dvr.pdf,007/007757/007757620/dv/kplr007757620-001-20130826182306_dvs.pdf,,,,,,,,,,,,,,,,,,,,293.41537,43.41761,13.579,13.964,13.517,13.413,13.366,12.534,12.244,12.183,0.013,19.560977,3.3e-05,43.4173,0.00036,-1.9,1.3,-1.1,1.3,0.00045,0.00031,0.00023,0.00031,,,,,,,,,,,,
6335,5949765,K05212.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,426.34444,0.02321,-0.02321,464.9081,0.0222,-0.0222,2455297.908,0.0222,-0.0222,0.0,,,,,,0.032,0.407,-0.0318,14.139,0.86,-0.86,,,,90.2,10.4,-10.4,0.008762,0.000498,-0.000671,1.30408,0.13992,-0.59124,MCMC,1.33,0.64,-0.31,1.1269,,,89.95,,,314.0,,,2.29,3.24,-1.1,232.3,24.9,-24.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3055,0.2956,q1_q16_koi,,,9.7,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,005/005949/005949765/dv/kplr005949765-20130815195353_dvr.pdf,005/005949/005949765/dv/kplr005949765-001-20130826182306_dvs.pdf,6395.0,164.0,-188.0,4.17,0.207,-0.252,-0.38,0.26,-0.3,1.394,0.665,-0.326,1.047,0.244,-0.118,,,,stellar_q1_q16,288.37491,41.27457,12.254,12.568,12.221,12.119,12.128,11.317,11.091,11.059,0.354,19.225017,2.2e-05,41.27457,0.00029,0.97,0.9,0.0,1.0,-0.00011,0.00013,1e-05,0.00015,-2.4,1.5,-1.73,0.23,2.9,1.2,-2.2,1.5,-1.61,0.22,2.7,1.3
4012,6356885,K04378.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,343.42046,0.04607,-0.04607,327.4112,0.054,-0.054,2455160.411,0.054,-0.054,0.0,,,,,,0.3519,0.1303,-0.3517,11.11,2.0,-2.0,,,,482.7,60.2,-60.2,0.020371,0.000274,-0.002882,1.85495,2.06482,-1.12223,MCMC,2.15,0.88,-0.21,0.9617,,,89.95,,,270.0,,,1.27,1.52,-0.37,226.1,83.9,-83.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2971,0.3303,q1_q16_koi,,,10.0,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,6115.0,161.0,-199.0,4.469,0.053,-0.291,-0.22,0.26,-0.3,0.967,0.397,-0.094,0.999,0.145,-0.119,,,,stellar_q1_q16,289.44867,41.731411,15.223,15.688,15.185,15.023,14.965,14.038,13.735,13.685,,,,,,,,,,,,,,,,,,,,,,,,,
6810,8036863,K05465.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,476.80454,0.0275,-0.0275,158.1644,0.055,-0.055,2454991.164,0.055,-0.055,0.0,,,,,,0.5619,0.0512,-0.4509,10.65,2.6,-2.6,,,,143.6,48.4,-48.4,0.011335,0.002522,-0.001389,1.9772,109.97894,-1.52809,MCMC,1.12,0.45,-0.12,1.1453,,,89.95,,,227.0,,,0.63,0.76,-0.18,287.0,143.0,-143.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2779,0.3728,q1_q16_koi,,,5.7,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,008/008036/008036863/dv/kplr008036863-20130815195353_dvr.pdf,008/008036/008036863/dv/kplr008036863-001-20130826182306_dvs.pdf,5806.0,158.0,-147.0,4.473,0.07,-0.275,-0.3,0.3,-0.26,0.901,0.37,-0.096,0.881,0.122,-0.075,,,,stellar_q1_q16,294.57321,43.898521,13.879,14.367,13.832,13.669,13.615,12.6,12.106,12.114,0.045,19.638159,4e-05,43.89842,0.00047,-2.1,1.6,-0.3,1.7,0.00049,0.00041,0.00013,0.00045,0.7,1.1,-0.72,0.91,1.0,1.0,0.7,1.1,-0.91,0.91,1.16,0.99
7128,11046723,K05857.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,388.03884851,,,513.4051356,,,2455346.405,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,q1_q16_koi,,,,1,,1.0,q1_q16_tce,,,,,,011/011046/011046723/dv/kplr011046723-20130815195353_dvr.pdf,011/011046/011046723/dv/kplr011046723-001-20130826182306_dvs.pdf,,,,,,,,,,,,,,,,,,,,298.71347,48.545479,13.583,13.963,13.552,13.42,13.404,12.548,12.263,12.204,0.603,19.914201,6.2e-05,48.54572,0.0007,-1.1,2.2,0.9,2.5,0.00051,0.00088,-0.0003,0.001,-0.83,0.96,0.3,2.8,0.9,1.3,-0.82,0.99,0.5,2.7,1.0,2.0
8257,4567118,K06425.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,TOO_FEW_QUARTERS,521.10826,0.04224,-0.04224,189.5977,0.0577,-0.0577,2455022.598,0.0577,-0.0577,0.0,,,,,,0.3485,0.0982,-0.3485,18.36,3.3,-3.3,,,,244.7,37.1,-37.1,0.014478,0.001217,-0.001166,0.6145,0.37203,-0.59373,MCMC,1.5,0.57,-0.19,1.2173,,,89.95,,,231.0,,,0.68,0.76,-0.22,206.6,62.5,-62.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.292,0.342,q1_q17_dr24_koi,6.0035906,8.312807,8.7,1,3.0,1.0,q1_q17_dr24_tce,1.11110111011101e+31,,Mandel and Agol (2002 ApJ 580 171),,,004/004567/004567118/dv/kplr004567118-20141002224145_dvr.pdf,004/004567/004567118/dv/kplr004567118-001-20141002224145_dvs.pdf,5942.0,165.0,-161.0,4.432,0.093,-0.093,-0.4,0.3,-0.26,0.947,0.361,-0.119,0.884,0.127,-0.078,,,,stellar_q1_q17,293.23929,39.691681,14.163,14.637,14.122,13.959,13.857,13.006,12.669,12.633,0.474,19.549256,4.5e-05,39.6916,0.00045,-1.2,1.9,-0.3,1.6,0.00029,0.00043,9e-05,0.00038,0.25,0.36,-2.63,0.4,2.65,0.4,0.33,0.36,-2.65,0.4,2.67,0.4
