rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1187,11551692,K01781.01,Kepler-411 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,7.834433676,2.959e-06,-2.959e-06,135.222143,0.000296,-0.000296,2454968.222,0.000296,-0.000296,0.0,,,,,,0.714,0.066,-0.488,2.89,0.0363,-0.0363,,,,2018.1,8.6,-8.6,0.04418,0.000276,-0.003365,1.21437,1.61008,-0.34525,LS+MCMC,3.47,0.29,-0.1,0.0714,,,87.41,,,689.0,,,53.33,14.22,-7.09,15.79,7.0,-7.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,34.478985,238.17216,246.6,3,135.0,1.0,q1_q17_dr25_tce,1.11111101110111e+31,0.6652,Mandel and Agol (2002 ApJ 580 171),,,011/011551/011551692/dv/kplr011551692-20160209194854_dvr.pdf,011/011551/011551692/dv/kplr011551692-001-20160209194854_dvs.pdf,4920.0,98.0,-98.0,4.62,0.01,-0.059,0.07,0.15,-0.15,0.72,0.059,-0.022,0.822,0.03,-0.059,,,,q1_q17_dr25_stellar,287.60559,49.523258,12.231,13.041,12.163,11.884,11.744,10.641,10.161,10.062,0.0,19.17371035,6.9e-07,49.5233935,7.3e-06,0.177,0.024,0.481,0.026,9e-06,6.7e-05,0.000159,8.8e-05,0.036,0.082,-0.06,0.12,0.07,0.11,0.227,0.086,0.47,0.11,0.52,0.1
6755,8868481,K05578.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,388.048463,0.006305,-0.006305,295.8353,0.0147,-0.0147,2455128.835,0.0147,-0.0147,0.0,,,,,,0.1973,0.258,-0.1972,3.456,0.603,-0.603,,,,149.6,20.1,-20.1,0.011183,0.000759,-0.001015,77.3737,247.88864,-40.04977,MCMC,3.0,0.14,-0.14,1.1326,,,89.95,,,376.0,,,4.71,0.67,-0.64,851.0,389.0,-389.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2782,0.3741,q1_q16_koi,,,8.3,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,008/008868/008868481/dv/kplr008868481-20130815195353_dvr.pdf,008/008868/008868481/dv/kplr008868481-001-20130826182306_dvs.pdf,5779.0,67.0,-67.0,3.765,0.017,-0.018,-0.2,0.3,-0.3,2.46,0.11,-0.12,1.29,0.12,-0.16,,,,stellar_q1_q16,284.31519,45.132259,11.084,11.525,11.008,10.895,10.806,9.919,9.576,9.519,0.115,18.954309,4.1e-05,45.13201,0.00035,-1.4,1.6,-0.9,1.3,0.00016,0.00021,0.00014,0.00017,-1.04,0.27,-1.84,0.51,2.11,0.46,-1.5,0.27,-1.85,0.58,2.38,0.48
1158,11153121,K01647.01,Kepler-313 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,14.97031664,8.269e-05,-8.269e-05,134.50507,0.00411,-0.00411,2454967.505,0.00411,-0.00411,0.0,,,,,,0.352,0.112,-0.352,5.884,0.124,-0.124,,,,290.5,10.7,-10.7,0.015631,0.00041,-0.000552,0.53698,0.14291,-0.12986,LS+MCMC,2.53,0.39,-0.54,0.1215,,,88.91,,,883.0,,,143.33,63.6,-60.79,18.53,4.9,-4.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.26,0.4133,q1_q17_dr25_koi,6.9875393,23.425465,28.9,3,70.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.0425,Mandel and Agol (2002 ApJ 580 171),,,011/011153/011153121/dv/kplr011153121-20160209194854_dvr.pdf,011/011153/011153121/dv/kplr011153121-001-20160209194854_dvs.pdf,5726.0,114.0,-103.0,4.123,0.182,-0.098,0.21,0.15,-0.15,1.483,0.23,-0.316,1.066,0.115,-0.086,,,,q1_q17_dr25_stellar,298.29495,48.775459,14.167,14.647,14.076,13.961,13.807,12.868,12.551,12.517,0.0,19.886342,1.9e-05,48.77577,0.00015,0.44,0.67,1.1,0.54,6e-05,0.00019,-0.00041,0.00015,0.48,0.22,-0.03,0.24,0.48,0.22,0.56,0.23,-0.02,0.23,0.56,0.23
281,8689031,K00920.01,Kepler-726 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,21.80451611,4.733e-05,-4.733e-05,190.49737,0.00171,-0.00171,2455023.497,0.00171,-0.00171,0.0,,,,,,0.751,0.166,-0.5,3.4097,0.0714,-0.0714,,,,1144.9,26.4,-26.4,0.033653,0.004907,-0.002737,1.66656,3.31659,-0.00026,LS+MCMC,2.6,0.47,-0.19,0.1406,,,88.76,,,543.0,,,20.48,11.55,-4.65,34.7,17.3,-17.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,9.254608,43.653084,49.9,1,61.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6929,Mandel and Agol (2002 ApJ 580 171),,,008/008689/008689031/dv/kplr008689031-20160209194854_dvr.pdf,008/008689/008689031/dv/kplr008689031-001-20160209194854_dvs.pdf,5481.0,163.0,-146.0,4.629,0.028,-0.112,-0.5,0.3,-0.3,0.708,0.127,-0.051,0.806,0.073,-0.09,,,,q1_q17_dr25_stellar,291.71732,44.88731,15.067,15.624,15.026,14.828,14.74,13.81,13.381,13.329,0.028,19.4478205,7.2e-06,44.887189,7.7e-05,-0.03,0.27,-0.44,0.28,-0.00029,0.00032,0.00038,0.00033,0.2,0.095,0.17,0.13,0.26,0.11,-0.023,0.097,0.25,0.15,0.25,0.15
1663,11074178,K01889.01,Kepler-1001 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,14.30517579,4.815e-05,-4.815e-05,135.06301,0.00265,-0.00265,2454968.063,0.00265,-0.00265,0.0,,,,,,0.924,0.003,-0.663,4.535,0.152,-0.152,,,,863.4,24.6,-24.6,0.033025,0.000654,-0.005796,0.12872,1.58414,-0.01787,LS+MCMC,3.05,0.85,-0.28,0.1129,,,85.25,,,693.0,,,54.59,44.75,-14.37,11.17,5.5,-5.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,6.970516,29.050053,37.5,2,74.0,1.0,q1_q17_dr25_tce,1.11111101110111e+31,0.9167,Mandel and Agol (2002 ApJ 580 171),,,011/011074/011074178/dv/kplr011074178-20160209194854_dvr.pdf,011/011074/011074178/dv/kplr011074178-001-20160209194854_dvs.pdf,5741.0,155.0,-155.0,4.555,0.034,-0.195,-0.16,0.3,-0.3,0.846,0.236,-0.079,0.938,0.098,-0.109,,,,q1_q17_dr25_stellar,286.27386,48.61871,15.338,15.872,15.296,15.109,15.052,14.109,13.718,13.662,0.024,19.084939,1e-05,48.618785,9.5e-05,0.52,0.37,0.27,0.34,-0.00041,0.00034,-0.00036,0.00032,0.17,0.12,-0.22,0.23,0.28,0.2,0.17,0.12,-0.27,0.23,0.33,0.22
1412,9656252,K02044.01,Kepler-1068 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.92342126,5.948e-05,-5.948e-05,145.81407,0.0028,-0.0028,2454978.814,0.0028,-0.0028,0.0,,,,,,0.515,0.385,-0.307,4.1864,0.0904,-0.0904,,,,1125.3,31.8,-31.8,0.031414,0.006162,-0.000936,1.39016,0.86334,-0.0036,LS+MCMC,3.4,0.5,-0.22,0.1309,,,88.93,,,702.0,,,57.37,22.47,-9.99,27.61,8.6,-8.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2555,0.4191,q1_q17_dr25_koi,5.9767494,32.034893,40.8,1,70.0,1.0,q1_q17_dr25_tce,1.11111111111111e+29,0.6147,Mandel and Agol (2002 ApJ 580 171),,,009/009656/009656252/dv/kplr009656252-20160209194854_dvr.pdf,009/009656/009656252/dv/kplr009656252-001-20160209194854_dvs.pdf,5786.0,78.0,-86.0,4.465,0.038,-0.12,0.16,0.15,-0.15,0.99,0.147,-0.063,1.044,0.051,-0.072,,,,q1_q17_dr25_stellar,294.64816,46.392361,15.818,16.347,15.778,15.591,15.53,14.638,14.319,14.161,0.001,19.643207,7.5e-06,46.392532,8.5e-05,-0.16,0.28,0.62,0.31,-0.00014,0.00033,0.00064,0.00037,0.1,0.13,-0.12,0.14,0.15,0.16,0.07,0.11,-0.1,0.13,0.12,0.14
178,6675056,K00859.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,DEEP_V_SHAPED---CENT_RESOLVED_OFFSET---EPHEM_MATCH,10.44331991,2.287e-05,-2.287e-05,175.4046,0.00185,-0.00185,2455008.405,0.00185,-0.00185,0.0,,,,,,0.23,0.799,-0.23,2.743,0.505,-0.505,,,,1159.8,64.2,-64.2,0.030416,0.064728,-0.001345,4.32663,0.74196,-4.14783,LS+MCMC,2.66,0.2,-0.27,0.0857,,,89.55,,,667.0,,,46.94,13.93,-12.92,29.22,5.0,-5.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,10.513627,48.83681,51.7,1,127.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.0106,Mandel and Agol (2002 ApJ 580 171),,,006/006675/006675056/dv/kplr006675056-20160209194854_dvr.pdf,006/006675/006675056/dv/kplr006675056-001-20160209194854_dvs.pdf,4947.0,148.0,-133.0,4.516,0.077,-0.056,0.08,0.25,-0.3,0.802,0.059,-0.081,0.769,0.083,-0.056,,,,q1_q17_dr25_stellar,286.24356,42.148811,15.546,16.374,15.478,15.191,14.983,14.047,13.501,13.392,0.0,19.0836582,6.8e-06,42.125175,8.9e-05,30.19,0.27,-85.09,0.32,-0.03841,0.00036,0.1079,0.00043,3.665,0.068,-8.533,0.068,9.287,0.068,3.623,0.072,-8.662,0.073,9.389,0.073
5201,6356400,K07776.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.74,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,541.92452,0.01934,-0.01934,326.8745,0.024,-0.024,2455159.874,0.024,-0.024,0.0,,,,,,0.95,0.026,-0.654,21.4,1.7,-1.7,,,,1504.2,97.1,-97.1,0.046999,0.000328,-0.012828,0.03972,1.02596,-0.01663,LS+MCMC,3.15,0.23,-0.29,1.098,,,89.36,,,144.0,,,0.1,0.03,-0.02,85.1,42.3,-42.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0833,0.6584,q1_q17_dr25_koi,6.357032,9.647261,18.1,1,3.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9324,Mandel and Agol (2002 ApJ 580 171),,,006/006356/006356400/dv/kplr006356400-20160209194854_dvr.pdf,006/006356/006356400/dv/kplr006356400-001-20160209194854_dvs.pdf,4378.0,131.0,-131.0,4.64,0.052,-0.024,-0.34,0.3,-0.3,0.614,0.045,-0.056,0.601,0.07,-0.047,,,,q1_q17_dr25_stellar,289.28772,41.799938,15.671,16.743,15.568,15.212,14.885,13.729,13.121,13.011,0.006,19.285894,3.7e-05,41.7994,0.00031,1.9,1.5,-1.9,1.1,-0.0027,0.0023,0.0023,0.002,-1.14,0.16,-1.31,0.15,1.73,0.15,-1.17,0.16,-1.71,0.15,2.07,0.15
4887,4645174,K03437.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.997,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,34.7496038,0.0005627,-0.0005627,158.68412,0.00952,-0.00952,2454991.684,0.00952,-0.00952,0.0,,,,,,0.984,0.024,-0.709,4.548,0.231,-0.231,,,,227.1,20.7,-20.7,0.020104,0.001427,-0.0072,0.06106,8.04937,-0.13729,LS+MCMC,3.51,0.53,-0.78,0.2162,,,86.42,,,702.0,,,57.44,21.95,-24.54,15.74,7.9,-7.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2638,0.4046,q1_q17_dr25_koi,3.2420754,9.588086,11.4,2,37.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.3885,Mandel and Agol (2002 ApJ 580 171),,,004/004645/004645174/dv/kplr004645174-20160209194854_dvr.pdf,004/004645/004645174/dv/kplr004645174-002-20160209194854_dvs.pdf,5849.0,70.0,-79.0,4.076,0.182,-0.098,0.14,0.15,-0.15,1.601,0.237,-0.356,1.114,0.119,-0.095,,,,q1_q17_dr25_stellar,288.88333,39.74456,14.606,15.056,14.577,14.414,14.333,13.476,13.149,13.03,0.059,19.258876,3.4e-05,39.74416,0.00038,-0.5,1.4,-1.5,1.4,0.00014,0.00027,0.00033,0.00026,0.07,0.55,-0.4,0.84,0.41,0.91,0.42,0.55,-0.05,0.78,0.42,0.63
3117,11669239,K00542.01,Kepler-180 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,41.8854433,0.0001514,-0.0001514,178.6919,0.00301,-0.00301,2455011.692,0.00301,-0.00301,0.0,,,,,,0.917,0.023,-0.625,6.763,0.225,-0.225,,,,687.4,15.5,-15.5,0.02918,0.000194,-0.004752,0.11656,1.22014,-0.04091,LS+MCMC,3.28,0.88,-0.6,0.2259,,,87.62,,,540.0,,,20.05,16.01,-8.0,22.1,11.0,-11.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,10.013721,38.99938,47.0,2,32.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.5065,Mandel and Agol (2002 ApJ 580 171),,,011/011669/011669239/dv/kplr011669239-20160209194854_dvr.pdf,011/011669/011669239/dv/kplr011669239-001-20160209194854_dvs.pdf,5735.0,155.0,-155.0,4.356,0.175,-0.193,-0.2,0.3,-0.3,1.028,0.279,-0.186,0.875,0.13,-0.08,,,,q1_q17_dr25_stellar,295.57135,49.774578,14.35,14.887,14.306,14.12,14.043,13.057,12.696,12.685,0.051,19.7047374,9.3e-06,49.77445,9.1e-05,-0.65,0.32,-0.47,0.33,0.00036,0.00021,0.00018,0.00022,0.03,0.14,0.26,0.2,0.26,0.2,-0.04,0.16,0.16,0.17,0.16,0.17
