rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1919,6768394,K02086.02,Kepler-60 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.972,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.91901228,5.078e-05,-5.078e-05,140.0777,0.00406,-0.00406,2454973.078,0.00406,-0.00406,0.0,,,,,,0.619,0.288,-0.404,4.141,0.12,-0.12,,,,180.6,6.7,-6.7,0.012857,0.002284,-0.000595,0.54873,0.46728,-0.41904,LS+MCMC,1.84,0.29,-0.36,0.0835,,,87.32,,,1023.0,,,258.92,115.07,-104.47,13.21,5.6,-5.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2713,0.3874,q1_q17_dr25_koi,4.777101,23.89117,29.6,4,150.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4957,Mandel and Agol (2002 ApJ 580 171),,,006/006768/006768394/dv/kplr006768394-20160209194854_dvr.pdf,006/006768/006768394/dv/kplr006768394-001-20160209194854_dvs.pdf,5862.0,105.0,-117.0,4.194,0.182,-0.098,-0.1,0.15,-0.15,1.307,0.209,-0.256,0.973,0.085,-0.071,,,,q1_q17_dr25_stellar,288.96124,42.265011,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516,0.009,19.264108,1.1e-05,42.2651,0.00014,1.01,0.46,0.33,0.49,-0.000182,8.4e-05,-4e-05,9e-05,-0.46,0.19,-0.49,0.25,0.67,0.24,-0.47,0.21,-0.4,0.21,0.62,0.23
4633,8073705,K03245.01,Kepler-1445 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.973,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.60052083,8.867e-05,-8.867e-05,132.98523,0.00601,-0.00601,2454965.985,0.00601,-0.00601,0.0,,,,,,0.729,0.235,-0.503,4.509,0.187,-0.187,,,,60.9,4.1,-4.1,0.00769,0.002047,-0.000581,0.33063,0.65357,-0.30282,LS+MCMC,1.09,0.18,-0.21,0.0948,,,86.66,,,987.0,,,224.28,102.9,-91.98,12.52,6.2,-6.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2918,0.3434,q1_q17_dr25_koi,3.9997435,13.720245,17.4,1,128.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0117,Mandel and Agol (2002 ApJ 580 171),,,008/008073/008073705/dv/kplr008073705-20160209194854_dvr.pdf,008/008073/008073705/dv/kplr008073705-001-20160209194854_dvs.pdf,6035.0,120.0,-132.0,4.212,0.168,-0.112,-0.16,0.15,-0.15,1.303,0.21,-0.257,1.009,0.086,-0.078,,,,q1_q17_dr25_stellar,280.24945,43.915058,12.405,12.751,12.362,12.257,12.242,11.436,11.178,11.114,0.311,18.683278,2.3e-05,43.91517,0.0002,-0.75,0.9,0.39,0.74,3.4e-05,5.6e-05,-3.3e-05,4.6e-05,0.04,0.89,0.72,0.57,0.72,0.59,0.15,0.86,0.33,0.63,0.36,0.81
6949,9157030,K05628.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.874,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,24.9093027,0.0003196,-0.0003196,155.3824,0.0104,-0.0104,2454988.382,0.0104,-0.0104,0.0,,,,,,0.679,0.056,-0.486,3.8,0.293,-0.293,,,,332.6,37.2,-37.2,0.017666,0.007504,-0.001746,1.66967,2.83435,-1.5777,LS+MCMC,1.32,0.14,-0.09,0.1507,,,88.98,,,452.0,,,9.9,3.8,-2.36,38.0,16.1,-16.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1142,0.6188,q1_q17_dr25_koi,3.8294976,8.850599,10.4,1,53.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4609,Mandel and Agol (2002 ApJ 580 171),,,009/009157/009157030/dv/kplr009157030-20160209194854_dvr.pdf,009/009157/009157030/dv/kplr009157030-001-20160209194854_dvs.pdf,4810.0,146.0,-146.0,4.633,0.028,-0.056,-0.14,0.3,-0.3,0.685,0.074,-0.049,0.751,0.061,-0.075,,,,q1_q17_dr25_stellar,292.81415,45.546501,15.712,16.586,15.681,15.337,15.227,14.073,13.495,13.405,0.075,19.520957,3.7e-05,45.5467,0.00039,0.5,1.4,0.7,1.4,-0.00021,0.00048,-0.00053,0.00048,0.5,1.1,-0.02,0.94,0.5,1.1,0.3,1.1,-0.44,0.94,0.5,1.0
4393,10407210,K04662.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,1,q1_q17_dr25_sup_koi,CENT_SATURATED---HALO_GHOST---EPHEM_MATCH,0.933728755,8.982e-06,-8.982e-06,131.54241,0.00942,-0.00942,2454964.542,0.00942,-0.00942,0.0,,,,,,0.645,0.039,-0.494,4.363,0.248,-0.248,,,,13.5,1.0,-1.0,0.00355,1e-05,-0.000322,0.07124,0.05618,-0.00311,LS+MCMC,0.72,0.2,-0.22,0.0208,,,64.29,,,2777.0,,,14057.75,11618.71,-8330.73,1.486,0.586,-0.586,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.318,0.2734,q1_q17_dr25_koi,15.203435,10.33584,17.9,1,1444.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0225,Mandel and Agol (2002 ApJ 580 171),,,010/010407/010407210/dv/kplr010407210-20160209194854_dvr.pdf,010/010407/010407210/dv/kplr010407210-001-20160209194854_dvs.pdf,6652.0,187.0,-258.0,4.036,0.264,-0.176,-0.16,0.25,-0.3,1.863,0.519,-0.576,1.378,0.186,-0.279,,,,q1_q17_dr25_stellar,292.83698,47.55394,10.959,11.448,10.989,,,9.989,9.823,9.785,0.0,19.522444,2.3e-05,47.55517,0.00027,-0.8,0.83,4.44,0.97,7.1e-06,6.8e-06,-3.74e-05,7.8e-06,3.06,0.9,-1.5,1.0,3.42,0.99,3.34,0.9,-1.2,1.0,3.55,0.98
523,9512687,K00942.01,Kepler-735 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.51517167,1.566e-05,-1.566e-05,174.85855,0.00106,-0.00106,2455007.859,0.00106,-0.00106,0.0,,,,,,0.311,0.124,-0.311,2.006,0.0382,-0.0382,,,,1357.4,30.3,-30.3,0.033306,0.000724,-0.000942,11.51706,2.74017,-2.12313,LS+MCMC,2.9,0.4,-0.19,0.0965,,,89.59,,,657.0,,,43.96,19.8,-10.12,43.2,10.3,-10.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,q1_q17_dr25_koi,7.9626484,44.959515,53.2,1,115.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.661,Mandel and Agol (2002 ApJ 580 171),,,009/009512/009512687/dv/kplr009512687-20160209194854_dvr.pdf,009/009512/009512687/dv/kplr009512687-001-20160209194854_dvs.pdf,5177.0,155.0,-155.0,4.59,0.024,-0.102,0.21,0.2,-0.3,0.798,0.108,-0.054,0.91,0.047,-0.093,,,,q1_q17_dr25_stellar,284.68887,46.172249,15.386,16.099,15.302,15.08,14.934,13.94,13.496,13.453,0.383,18.9792553,6.7e-06,46.17216,6.7e-05,-0.12,0.25,-0.32,0.24,0.00031,0.00036,0.00015,0.00037,0.059,0.093,-0.09,0.14,0.11,0.14,0.022,0.089,-0.32,0.14,0.32,0.15
4781,5816811,K01042.02,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,1,0,0,q1_q17_dr25_sup_koi,,4.45540935,,,134.4555812,,,2454967.456,,,,,,,,,,,,4.14,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,q1_q16_koi,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.33893,41.073479,14.85,15.339,14.805,14.64,14.535,13.653,13.333,13.293,,,,,,,,,,,,,,,,,,,,,,,,,
8826,8227464,K06994.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.994,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.25907841,5.855e-05,-5.855e-05,135.5815,0.0131,-0.0131,2454968.581,0.0131,-0.0131,0.0,,,,,,0.362,0.098,-0.362,4.513,0.335,-0.335,,,,28.1,2.9,-2.9,0.004852,0.000339,-0.000286,0.32638,0.23782,-0.08314,LS+MCMC,0.7,0.1,-0.15,0.0504,,,86.94,,,1253.0,,,583.12,241.46,-235.93,6.79,2.5,-2.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,3.464876,8.861572,11.5,1,316.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9508,Mandel and Agol (2002 ApJ 580 171),,,008/008227/008227464/dv/kplr008227464-20160209194854_dvr.pdf,008/008227/008227464/dv/kplr008227464-001-20160209194854_dvs.pdf,5560.0,89.0,-66.0,4.173,0.201,-0.108,0.1,0.15,-0.1,1.316,0.2,-0.276,0.942,0.072,-0.05,,,,q1_q17_dr25_stellar,289.77121,44.139969,12.832,13.312,12.78,12.627,12.55,11.69,11.33,11.288,0.821,19.318068,3.1e-05,44.13984,0.00035,-0.5,1.2,-0.5,1.3,1.3e-05,3.3e-05,6e-06,3.4e-05,-0.35,0.48,0.31,0.51,0.47,0.49,-0.3,0.73,-0.1,1.1,0.3,0.9
6834,7024045,K05347.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,23.9341825,0.0002652,-0.0002652,145.76028,0.00874,-0.00874,2454978.76,0.00874,-0.00874,0.0,,,,,,0.0465,0.4264,-0.0464,1.607,0.243,-0.243,,,,228.1,38.2,-38.2,0.013192,0.001418,-0.001378,50.42487,4.71428,-49.23926,MCMC,1.03,0.04,-0.08,0.145,,,89.95,,,432.0,,,8.27,1.9,-2.06,115.2,10.8,-10.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0757,0.6776,q1_q16_koi,,,6.5,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,007/007024/007024045/dv/kplr007024045-20130815195353_dvr.pdf,007/007024/007024045/dv/kplr007024045-001-20130826182306_dvs.pdf,4415.0,140.0,-134.0,4.58,0.044,-0.018,0.24,0.18,-0.26,0.715,0.03,-0.056,0.708,0.042,-0.051,,,,stellar_q1_q16,288.76083,42.554619,14.869,16.013,14.866,14.379,14.116,12.888,12.295,12.184,0.02,19.250752,3.9e-05,42.55409,0.00047,1.2,1.5,-1.9,1.7,-0.00029,0.00038,0.00057,0.00042,1.3,1.1,0.7,1.0,1.5,1.2,1.3,1.2,1.2,1.3,1.8,1.3
4082,7257966,K04185.01,Kepler-1946 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.992,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.035206175,5.17e-06,-5.17e-06,132.3291,0.00134,-0.00134,2454965.329,0.00134,-0.00134,0.0,,,,,,0.965,0.006,-0.683,0.6182,0.0834,-0.0834,,,,696.9,43.9,-43.9,0.037643,0.015802,-0.009981,6.04095,344.89703,-1.01749,LS+MCMC,3.59,0.8,-0.37,0.0394,,,86.14,,,1143.0,,,403.53,275.65,-115.9,14.33,7.1,-7.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2327,0.4526,q1_q17_dr25_koi,3.1614304,14.005139,19.1,1,438.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7879,Mandel and Agol (2002 ApJ 580 171),,,007/007257/007257966/dv/kplr007257966-20160209194854_dvr.pdf,007/007257/007257966/dv/kplr007257966-001-20160209194854_dvs.pdf,5505.0,164.0,-164.0,4.503,0.063,-0.158,-0.04,0.3,-0.3,0.873,0.195,-0.09,0.887,0.091,-0.082,,,,q1_q17_dr25_stellar,282.33563,42.84544,15.556,16.167,15.503,15.294,15.202,14.248,13.824,13.761,,18.822335,1.7e-05,42.84528,0.00017,-1.59,0.68,-0.58,0.61,,,0.00013,0.00037,0.05,0.42,-0.09,0.55,0.1,0.59,-0.09,0.42,-0.33,0.61,0.34,0.56
5235,5130740,K03583.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,210.30644361,3.562e-05,-3.562e-05,285.127394,0.000117,-0.000117,2455118.127,0.000117,-0.000117,0.0,,,,,,1.155,0.125,-0.076,6.68665,0.00818,-0.00818,,,,46455.0,49.4,-49.4,0.459132,0.085378,-0.086185,4.20467,0.14282,-0.13295,LS+MCMC,101.13,26.32,-26.33,0.8208,,,89.69,,,525.0,,,17.94,13.87,-9.78,214.22,7.3,-7.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3399,0.2246,q1_q17_dr25_koi,797.5308,1570.8746,1081.7,1,5.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0179,Mandel and Agol (2002 ApJ 580 171),,,005/005130/005130740/dv/kplr005130740-20160209194854_dvr.pdf,005/005130/005130740/dv/kplr005130740-001-20160209194854_dvs.pdf,7591.0,211.0,-343.0,4.05,0.187,-0.153,-0.08,0.15,-0.4,2.017,0.525,-0.525,1.665,0.198,-0.322,,,,q1_q17_dr25_stellar,299.21945,40.212311,12.504,12.638,12.46,12.463,12.471,11.728,11.563,11.516,0.0,19.94795522,2.3e-07,40.2119817,3.7e-06,-0.3621,0.0093,-1.182,0.013,-0.0033,0.0069,-0.03,0.009,0.007,0.067,0.032,0.071,0.033,0.07,-0.122,0.08,-0.04,0.11,0.13,0.085
