rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
9005,7537660,K06884.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,2.42186898,,,132.7886605,,,2454965.789,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,4.918115,8.2015295,,1,562.0,1.0,q1_q17_dr24_tce,1.11111111111111e+31,,,,,007/007537/007537660/dv/kplr007537660-20141002224145_dvr.pdf,007/007537/007537660/dv/kplr007537660-001-20141002224145_dvs.pdf,,,,,,,,,,,,,,,,,,,,294.6015,43.159935,13.583,14.309,13.54,13.27,,12.281,12.032,11.952,0.001,19.640094,1.2e-05,43.15958,0.00018,-0.23,0.46,-1.28,0.64,7e-06,1.5e-05,4.3e-05,2.2e-05,-0.04,0.52,0.15,0.46,0.16,0.62,-0.07,0.5,0.14,0.46,0.15,0.61
5029,3219037,K03395.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.00506974,9.309e-05,-9.309e-05,136.83029,0.00853,-0.00853,2454969.83,0.00853,-0.00853,0.0,,,,,,0.148,0.305,-0.148,3.481,0.244,-0.244,,,,143.3,14.1,-14.1,0.010975,0.000564,-0.000762,2.00242,0.28064,-0.99182,LS+MCMC,1.11,0.3,-0.15,0.0873,,,89.61,,,849.0,,,122.48,99.12,-41.68,21.96,3.1,-3.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,q1_q17_dr25_koi,3.4882889,10.070184,11.4,2,135.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4606,Mandel and Agol (2002 ApJ 580 171),,,003/003219/003219037/dv/kplr003219037-20160209194854_dvr.pdf,003/003219/003219037/dv/kplr003219037-001-20160209194854_dvs.pdf,5912.0,158.0,-175.0,4.453,0.098,-0.182,-0.38,0.3,-0.3,0.924,0.255,-0.127,0.884,0.109,-0.089,,,,q1_q17_dr25_stellar,286.54041,38.3326,14.634,15.123,14.603,14.424,14.362,13.461,13.144,13.047,0.026,19.102679,2.7e-05,38.33293,0.00035,-0.6,1.1,1.2,1.2,4e-05,0.00016,-0.00025,0.00018,0.23,0.88,-0.63,0.79,0.7,1.0,0.17,0.94,-0.72,0.76,0.74,0.93
1143,9729691,K01751.01,Kepler-949 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.689301216,9.801e-06,-9.801e-06,133.661284,0.000867,-0.000867,2454966.661,0.000867,-0.000867,0.0,,,,,,0.029,0.379,-0.029,2.563,0.0313,-0.0313,,,,1117.0,17.4,-17.4,0.029843,0.000773,-0.000428,4.75215,0.04705,-1.41718,LS+MCMC,2.92,0.6,-0.42,0.0774,,,89.94,,,782.0,,,88.24,59.32,-31.32,26.669,0.264,-0.264,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1914,0.5167,q1_q17_dr25_koi,10.483351,61.405857,70.9,2,126.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.4481,Mandel and Agol (2002 ApJ 580 171),,,009/009729/009729691/dv/kplr009729691-20160209194854_dvr.pdf,009/009729/009729691/dv/kplr009729691-001-20160209194854_dvs.pdf,5211.0,181.0,-163.0,4.447,0.12,-0.18,0.08,0.25,-0.3,0.895,0.186,-0.129,0.817,0.104,-0.064,,,,q1_q17_dr25_stellar,298.60788,46.453678,14.548,15.249,14.433,14.248,14.055,13.063,12.627,12.519,0.672,19.9071895,5.3e-06,46.453655,5.7e-05,-0.09,0.2,-0.09,0.2,0.00013,0.00022,5e-05,0.00023,-0.044,0.093,-0.157,0.097,0.16,0.1,-0.136,0.096,-0.178,0.1,0.22,0.11
1356,7697568,K01829.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,22.84156293,4.131e-05,-4.131e-05,138.632,0.00149,-0.00149,2454971.632,0.00149,-0.00149,0.0,,,,,,1.267,69.51,-0.051,2.5997,0.0692,-0.0692,,,,2940.7,72.5,-72.5,0.332581,69.58438,-0.048095,0.7722,286.6001,-0.13624,LS+MCMC,30.0,5.56,-2.98,0.1499,,,87.38,,,557.0,,,22.78,13.6,-6.39,27.7,13.8,-13.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2396,0.4415,q1_q17_dr25_koi,10.771274,47.546577,47.6,2,57.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.9382,Mandel and Agol (2002 ApJ 580 171),,,007/007697/007697568/dv/kplr007697568-20160209194854_dvr.pdf,007/007697/007697568/dv/kplr007697568-001-20160209194854_dvs.pdf,5381.0,175.0,-159.0,4.538,0.051,-0.119,-0.06,0.3,-0.3,0.826,0.153,-0.082,0.858,0.087,-0.078,,,,q1_q17_dr25_stellar,296.52243,43.363369,15.911,16.591,15.841,15.62,15.448,14.437,14.033,13.865,0.002,19.7681611,6.3e-06,43.363468,6.4e-05,-0.04,0.25,0.35,0.23,0.00053,0.00084,-0.00127,0.00091,0.15,0.099,-0.08,0.11,0.17,0.11,0.1,0.11,-0.21,0.11,0.23,0.12
8741,9005854,K07121.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,1.890227354,8.63e-07,-8.63e-07,131.678589,0.000365,-0.000365,2454964.679,0.000365,-0.000365,0.0,,,,,,0.957,0.214,-0.116,3.855,0.0238,-0.0238,,,,112260.0,522.0,-522.0,0.493645,0.154387,-0.118798,0.46727,0.05724,-0.04487,LS+MCMC,42.05,7.17,-3.29,0.0285,,,77.59,,,1236.0,,,551.66,297.99,-136.14,4.452,0.545,-0.545,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,q1_q17_dr25_koi,408.94156,4648.02,252.0,1,356.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.882,Mandel and Agol (2002 ApJ 580 171),,,009/009005/009005854/dv/kplr009005854-20160209194854_dvr.pdf,009/009005/009005854/dv/kplr009005854-001-20160209194854_dvs.pdf,5356.0,159.0,-159.0,4.589,0.035,-0.119,-0.12,0.3,-0.3,0.78,0.133,-0.061,0.872,0.07,-0.104,,,,q1_q17_dr25_stellar,285.03131,45.380451,15.569,16.213,15.518,15.293,15.195,14.216,13.808,13.689,,19.002086696,3.8e-08,45.38046066,3.7e-07,-0.0001,0.0014,0.0384,0.0013,0.0,0.089,,,0.004,0.067,-0.009,0.069,0.01,0.069,-0.014,0.072,0.008,0.078,0.016,0.077
1433,9649706,K02049.01,Kepler-1072 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.569066598,3.057e-06,-3.057e-06,133.04032,0.00171,-0.00171,2454966.04,0.00171,-0.00171,0.0,,,,,,0.097,0.358,-0.097,2.7803,0.0469,-0.0469,,,,147.2,3.5,-3.5,0.011031,0.000339,-0.000227,0.64519,0.04007,-0.19569,LS+MCMC,1.68,0.28,-0.34,0.0269,,,88.73,,,1849.0,,,2763.39,1157.65,-1098.21,4.379,0.272,-0.272,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2638,0.4046,q1_q17_dr25_koi,4.5790415,37.942986,48.7,1,859.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6069,Mandel and Agol (2002 ApJ 580 171),,,009/009649/009649706/dv/kplr009649706-20160209194854_dvr.pdf,009/009649/009649706/dv/kplr009649706-001-20160209194854_dvs.pdf,5821.0,69.0,-87.0,4.172,0.162,-0.108,0.12,0.15,-0.15,1.395,0.228,-0.279,1.054,0.097,-0.081,,,,q1_q17_dr25_stellar,292.04437,46.329029,13.93,14.3,13.862,13.771,13.752,12.852,12.604,12.566,0.004,19.4696113,8.9e-06,46.328915,9.6e-05,-0.52,0.33,-0.41,0.34,7.8e-05,4.2e-05,4.9e-05,4.3e-05,-0.07,0.14,-0.03,0.16,0.08,0.15,-0.11,0.15,-0.1,0.16,0.15,0.17
1771,10863608,K02368.01,Kepler-1210 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.07127043,5.172e-05,-5.172e-05,137.76604,0.00577,-0.00577,2454970.766,0.00577,-0.00577,0.0,,,,,,0.271,0.192,-0.271,2.393,0.156,-0.156,,,,318.2,22.3,-22.3,0.016427,0.000666,-0.000815,4.6734,0.31768,-2.43236,LS+MCMC,1.53,0.42,-0.14,0.0753,,,89.39,,,856.0,,,126.94,103.13,-34.34,25.25,1.7,-1.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3728,q1_q17_dr25_koi,3.9031043,15.912708,16.9,1,159.0,1.0,q1_q17_dr25_tce,1.11111111111111e+30,0.0051,Mandel and Agol (2002 ApJ 580 171),,,010/010863/010863608/dv/kplr010863608-20160209194854_dvr.pdf,010/010863/010863608/dv/kplr010863608-001-20160209194854_dvs.pdf,5766.0,155.0,-172.0,4.517,0.06,-0.18,-0.32,0.3,-0.3,0.853,0.236,-0.079,0.874,0.11,-0.08,,,,q1_q17_dr25_stellar,292.83215,48.21936,15.553,16.102,15.521,15.317,15.232,14.266,13.936,13.833,0.459,19.522155,2.4e-05,48.21946,0.00023,0.44,0.85,0.35,0.82,-0.0001,0.00026,-0.00016,0.00025,-0.47,0.34,-0.05,0.32,0.47,0.34,-0.44,0.34,-0.05,0.31,0.45,0.34
3466,10418797,K00741.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,23.355341391,2.817e-06,-2.817e-06,169.8339432,9.05e-05,-9.05e-05,2455002.834,9.05e-05,-9.05e-05,0.0,,,,,,0.842,0.009,-0.001,4.60672,0.0069,-0.0069,,,,38524.0,52.6,-52.6,0.218013,0.003888,-0.000592,1.37338,0.03703,-0.02451,LS+MCMC,21.55,5.8,-1.93,0.1611,,,88.58,,,601.0,,,30.96,24.58,-8.24,34.085,0.919,-0.919,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,217.71756,1094.4517,1144.3,1,46.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.2328,Mandel and Agol (2002 ApJ 580 171),,,010/010418/010418797/dv/kplr010418797-20160209194854_dvr.pdf,010/010418/010418797/dv/kplr010418797-001-20160209194854_dvs.pdf,5754.0,156.0,-173.0,4.534,0.035,-0.196,0.07,0.25,-0.3,0.905,0.244,-0.081,1.021,0.099,-0.124,,,,q1_q17_dr25_stellar,296.95724,47.55381,15.278,15.822,15.219,15.045,14.954,14.054,13.732,13.609,0.0,19.79714895,3.6e-07,47.553797,3.5e-06,-0.038,0.013,-0.047,0.013,-0.0065,0.0054,0.0035,0.008,0.024,0.067,0.001,0.068,0.024,0.067,-0.019,0.068,0.027,0.069,0.033,0.069
4000,7259249,K04237.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,0.950735805,2.789e-06,-2.789e-06,131.7794,0.00212,-0.00212,2454964.779,0.00212,-0.00212,0.0,,,,,,0.57,0.402,-0.368,1.1434,0.0918,-0.0918,,,,175.1,13.0,-13.0,0.01263,0.000371,-0.000787,3.23721,4.52696,-0.18316,LS+MCMC,1.39,0.46,-0.16,0.0196,,,83.9,,,1908.0,,,3129.59,3258.85,-1060.03,5.37,2.5,-2.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2844,0.3661,q1_q17_dr25_koi,4.175261,11.146722,17.1,1,1406.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0001,Mandel and Agol (2002 ApJ 580 171),,,007/007259/007259249/dv/kplr007259249-20160209194854_dvr.pdf,007/007259/007259249/dv/kplr007259249-001-20160209194854_dvs.pdf,6039.0,217.0,-265.0,4.478,0.056,-0.224,0.07,0.25,-0.3,1.005,0.333,-0.111,1.108,0.145,-0.159,,,,q1_q17_dr25_stellar,282.92773,42.80608,15.156,15.623,15.068,14.956,14.937,13.968,13.669,13.551,0.0,18.861955,2e-05,42.80477,0.00024,4.2,0.78,-4.73,0.88,-0.00068,0.00013,0.00076,0.00015,2.25,0.11,-3.47,0.16,4.13,0.14,2.42,0.11,-3.61,0.19,4.34,0.16
5419,6531143,K07784.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.002,1,0,0,0,q1_q17_dr25_sup_koi,MOD_NONUNIQ_ALT---CENT_KIC_POS,19.4444573,0.0007355,-0.0007355,147.9093,0.03,-0.03,2454980.909,0.03,-0.03,0.0,,,,,,0.634,0.034,-0.484,5.509,0.654,-0.654,,,,182.3,32.1,-32.1,0.012987,0.000922,-0.00149,0.48398,1.14549,-0.45496,LS+MCMC,1.53,0.47,-0.2,0.1477,,,88.29,,,749.0,,,74.47,66.87,-26.96,21.3,10.1,-10.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.302,0.319,q1_q17_dr25_koi,3.5745072,7.448767,7.1,1,59.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.6068,Mandel and Agol (2002 ApJ 580 171),,,006/006531/006531143/dv/kplr006531143-20160209194854_dvr.pdf,006/006531/006531143/dv/kplr006531143-001-20160209194854_dvs.pdf,6278.0,174.0,-261.0,4.425,0.067,-0.202,-0.06,0.25,-0.3,1.081,0.329,-0.141,1.132,0.157,-0.157,,,,q1_q17_dr25_stellar,294.504,41.968159,15.835,16.284,15.768,15.643,15.551,14.673,14.356,14.418,0.003,19.633655,3.7e-05,41.96886,0.00041,2.2,1.5,2.5,1.5,-0.00044,0.00026,-0.00032,0.00026,1.99,0.67,1.89,0.84,2.74,0.94,1.74,0.65,2.4,0.8,2.96,0.9
