rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
5866,4945877,K01936.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_SATURATED,1.339670241,5.393e-06,-5.393e-06,132.16786,0.00332,-0.00332,2454965.168,0.00332,-0.00332,0.0,,,,,,0.602,0.025,-0.48,1.895,0.111,-0.111,,,,28.6,1.7,-1.7,0.005163,5.3e-05,-0.000322,0.90649,1.06837,-0.04761,LS+MCMC,1.27,0.11,-0.28,0.0289,,,82.16,,,3448.0,,,33385.02,7780.0,-13758.59,4.41,1.7,-1.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2807,0.2513,q1_q17_dr25_koi,4.7264514,31.02485,21.7,1,998.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0005,Mandel and Agol (2002 ApJ 580 171),,,004/004945/004945877/dv/kplr004945877-20160209194854_dvr.pdf,004/004945/004945877/dv/kplr004945877-001-20160209194854_dvs.pdf,8867.0,70.0,-88.0,3.988,0.161,-0.069,-0.62,0.1,-0.2,2.245,0.209,-0.489,1.789,0.022,-0.212,,,,q1_q17_dr25_stellar,297.19012,40.027969,10.455,10.341,10.493,10.646,10.829,10.162,10.158,10.099,0.0,19.812568,1.2e-05,40.03036,0.00015,-4.37,0.48,8.61,0.55,0.000117,1.3e-05,-0.000227,1.5e-05,-4.59,0.15,7.29,0.16,8.62,0.2,-4.416,0.098,7.62,0.1,8.8,0.11
4093,10924340,K04326.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,0,1,q1_q17_dr25_sup_koi,LPP_DV---MOD_NONUNIQ_ALT---SAME_NTL_PERIOD---EPHEM_MATCH,0.750744255,9.95e-07,-9.95e-07,132.18261,0.00132,-0.00132,2454965.183,0.00132,-0.00132,0.0,,,,,,1.154,0.633,-0.09,1.7921,0.0555,-0.0555,,,,170.6,4.1,-4.1,0.166834,0.629362,-0.087803,0.07076,0.15118,-0.01199,LS+MCMC,17.07,5.56,-1.48,0.0162,,,25.83,,,2074.0,,,4387.1,4198.22,-1150.86,1.282,0.548,-0.548,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3058,0.3071,q1_q17_dr25_koi,4.809434,9.846193,50.4,1,1776.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9676,Mandel and Agol (2002 ApJ 580 171),,,010/010924/010924340/dv/kplr010924340-20160209194854_dvr.pdf,010/010924/010924340/dv/kplr010924340-002-20160209194854_dvs.pdf,6187.0,169.0,-188.0,4.499,0.041,-0.23,-0.32,0.3,-0.35,0.937,0.305,-0.081,1.011,0.136,-0.123,,,,q1_q17_dr25_stellar,293.80884,48.36562,13.941,14.327,13.895,13.775,13.73,12.875,12.604,12.544,0.001,19.587309,3.1e-05,48.36529,0.00028,1.9,1.1,-1.19,0.99,-8.1e-05,4e-05,5e-05,3.6e-05,1.05,0.21,-0.15,0.22,1.07,0.22,1.15,0.22,-0.08,0.21,1.16,0.22
5620,5215700,K03740.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,SWEET_EB---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_ALT---CENT_NOFITS,0.656201038,4.4e-08,-4.4e-08,132.0994299,5.96e-05,-5.96e-05,2454965.099,5.96e-05,-5.96e-05,0.0,,,,,,1.439,0.052,-0.05,4.17901,0.00762,-0.00762,,,,174860.0,131.0,-131.0,1.033681,0.043853,-0.050773,0.61974,0.03346,-0.04253,LS+MCMC,112.77,35.89,-11.97,0.0152,,,53.45,,,2157.0,,,5094.25,4930.11,-1615.38,2.416,0.13,-0.13,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2868,0.3588,q1_q17_dr25_koi,1941.0187,9778.885,2065.8,1,1731.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,-1.0,Mandel and Agol (2002 ApJ 580 171),,,005/005215/005215700/dv/kplr005215700-20160209194854_dvr.pdf,005/005215/005215700/dv/kplr005215700-001-20160209194854_dvs.pdf,6025.0,190.0,-232.0,4.472,0.052,-0.208,0.02,0.25,-0.35,0.999,0.318,-0.106,1.08,0.13,-0.159,,,,q1_q17_dr25_stellar,298.5304,40.39846,15.168,15.675,15.108,14.951,14.849,14.008,13.662,13.572,,19.902029589,1.6e-08,40.39803486,2.5e-07,0.09413,0.00067,-1.5305,0.00089,-0.036,0.063,,,-0.12,0.12,1.41,0.37,1.41,0.37,-0.031,0.067,-0.101,0.069,0.106,0.069
7839,5042785,K06507.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,0,0,q1_q17_dr25_sup_koi,LPP_DV---LPP_ALT---CENT_SATURATED,1.67473779,,,132.7799,,,2454965.78,,,,,,,,,,,,5.67,,,,,,,,,,,,0.38524,0.7639,-0.37571,none,,,,,,,,,,,,,16598.34,14831.23,-10024.09,,,,,,,,,q1_q17_dr25_koi,4.4060583,13.514008,,1,826.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9828,,,,005/005042/005042785/dv/kplr005042785-20160209194854_dvr.pdf,005/005042/005042785/dv/kplr005042785-001-20160209194854_dvs.pdf,,,,,,,,,,,,,,,,,,,,299.09546,40.19817,11.48,11.616,11.434,11.431,11.446,10.72,10.562,10.546,,19.939696,3.2e-06,40.198162,3e-05,-0.03,0.13,-0.03,0.11,0.0,0.00049,,,1.0,1.3,1.29,0.31,1.63,0.82,0.9,0.87,1.26,0.59,1.55,0.93
3991,6778008,K04373.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET---EPHEM_MATCH,0.945829261,5.176e-06,-5.176e-06,132.09286,0.00461,-0.00461,2454965.093,0.00461,-0.00461,0.0,,,,,,0.326,0.15,-0.326,1.715,0.124,-0.124,,,,98.2,7.7,-7.7,0.009199,0.000331,-0.000586,1.43074,0.31831,-0.61958,LS+MCMC,0.86,0.21,-0.07,0.0185,,,85.41,,,1790.0,,,2433.01,1748.46,-637.83,4.075,0.907,-0.907,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,q1_q17_dr25_koi,3.8878186,12.137012,15.1,1,1416.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4895,Mandel and Agol (2002 ApJ 580 171),,,006/006778/006778008/dv/kplr006778008-20160209194854_dvr.pdf,006/006778/006778008/dv/kplr006778008-001-20160209194854_dvs.pdf,5959.0,160.0,-178.0,4.546,0.042,-0.168,-0.32,0.3,-0.3,0.859,0.209,-0.075,0.948,0.098,-0.12,,,,q1_q17_dr25_stellar,292.01379,42.28875,15.263,15.72,15.214,15.067,15.003,14.106,13.787,13.708,0.0,19.467709,1.9e-05,42.28998,0.00023,4.91,0.75,4.43,0.81,-0.000416,7.7e-05,-0.000608,8.4e-05,7.84,0.69,0.01,0.41,7.84,0.69,7.87,0.7,-0.13,0.42,7.87,0.7
5873,7199756,K07823.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,1,1,q1_q17_dr25_sup_koi,LPP_DV---CENT_RESOLVED_OFFSET---EPHEM_MATCH,0.566781152,6.202e-06,-6.202e-06,131.85715,0.00985,-0.00985,2454964.857,0.00985,-0.00985,0.0,,,,,,0.427,0.095,-0.427,3.995,0.331,-0.331,,,,133.4,8.2,-8.2,0.010672,0.000412,-0.000583,0.10849,0.01815,-0.02712,LS+MCMC,0.54,0.04,-0.06,0.0104,,,69.61,,,1090.0,,,337.1,87.02,-86.56,1.226,0.205,-0.205,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.426,0.2631,q1_q17_dr25_koi,3.0745935,11.191967,24.9,1,2012.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.9735,Mandel and Agol (2002 ApJ 580 171),,,007/007199/007199756/dv/kplr007199756-20160209194854_dvr.pdf,007/007199/007199756/dv/kplr007199756-001-20160209194854_dvs.pdf,3725.0,59.0,-66.0,4.787,0.055,-0.035,-0.2,0.2,-0.2,0.46,0.04,-0.049,0.473,0.043,-0.047,,,,q1_q17_dr25_stellar,291.60602,42.70372,15.742,17.226,15.835,15.106,14.721,13.472,12.81,12.625,0.419,19.440411,3.1e-05,42.70386,0.00038,0.3,1.2,0.5,1.4,-3.1e-05,7.7e-05,-5.6e-05,8.5e-05,-1.97,0.74,-1.64,0.48,2.56,0.6,-1.96,0.66,-1.77,0.5,2.64,0.53
4979,6975129,K01628.02,Kepler-312 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.772451066,6.597e-06,-6.597e-06,132.08668,0.00314,-0.00314,2454965.087,0.00314,-0.00314,0.0,,,,,,0.006,0.444,-0.006,2.4592,0.0976,-0.0976,,,,79.2,4.1,-4.1,0.008154,0.000337,-0.000246,1.04708,0.11023,-0.37756,LS+MCMC,1.02,0.18,-0.06,0.0307,,,89.94,,,1685.0,,,1904.34,895.31,-358.03,5.582,0.588,-0.588,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3022,0.3344,q1_q17_dr25_koi,4.697103,21.7057,22.4,3,741.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7701,Mandel and Agol (2002 ApJ 580 171),,,006/006975/006975129/dv/kplr006975129-20160209194854_dvr.pdf,006/006975/006975129/dv/kplr006975129-002-20160209194854_dvs.pdf,6243.0,99.0,-136.0,4.406,0.026,-0.136,0.21,0.15,-0.2,1.149,0.201,-0.067,1.226,0.076,-0.102,,,,q1_q17_dr25_stellar,298.39575,42.459751,12.949,13.355,12.895,12.775,12.729,11.902,11.664,11.596,0.679,19.89305,1.1e-05,42.45977,0.0001,-0.04,0.43,0.07,0.38,2e-05,3.4e-05,5e-06,3e-05,-0.16,0.2,-0.14,0.24,0.21,0.26,-0.01,0.22,0.05,0.23,0.06,0.21
6653,7800285,K05427.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET,0.533000886,7.9e-08,-7.9e-08,131.735703,0.000131,-0.000131,2454964.736,0.000131,-0.000131,0.0,,,,,,1.271,0.948,-0.037,1.54684,0.00536,-0.00536,,,,4398.5,8.4,-8.4,0.352317,0.902787,-0.026131,0.37417,0.7787,-0.04325,LS+MCMC,40.94,11.88,-7.93,0.0124,,,44.35,,,2429.0,,,8170.3,6962.36,-3466.79,1.778,0.74,-0.74,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,q1_q17_dr25_koi,18.847654,213.51083,327.4,1,1257.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8656,Mandel and Agol (2002 ApJ 580 171),,,007/007800/007800285/dv/kplr007800285-20160209194854_dvr.pdf,007/007800/007800285/dv/kplr007800285-001-20160209194854_dvs.pdf,5934.0,160.0,-178.0,4.331,0.167,-0.185,-0.36,0.3,-0.3,1.064,0.309,-0.206,0.885,0.13,-0.08,,,,q1_q17_dr25_stellar,281.65961,43.587891,15.042,15.525,15.007,14.835,14.773,13.884,13.498,13.393,0.0,18.7772929,9.1e-07,43.5869964,9.3e-06,-0.591,0.036,-3.217,0.033,-5e-05,0.00057,0.00797,0.00077,-0.159,0.076,-3.25,0.089,3.253,0.089,0.91,0.39,-4.29,0.37,4.39,0.38
4099,10427700,K04394.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,0,0,q1_q17_dr25_sup_koi,MOD_NONUNIQ_ALT,0.616386349,1.104e-06,-1.104e-06,131.64315,0.00138,-0.00138,2454964.643,0.00138,-0.00138,0.0,,,,,,0.226,0.23,-0.226,0.8136,0.0593,-0.0593,,,,79.4,4.4,-4.4,0.008252,0.002673,-0.000328,9.31487,7.33497,-4.08441,LS+MCMC,2.94,0.64,-1.18,0.0162,,,87.73,,,3552.0,,,37463.63,24935.48,-25895.29,5.72,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2773,0.3755,q1_q17_dr25_koi,3.416831,13.341784,21.9,1,1728.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.9535,Mandel and Agol (2002 ApJ 580 171),,,010/010427/010427700/dv/kplr010427700-20160209194854_dvr.pdf,010/010427/010427700/dv/kplr010427700-001-20160209194854_dvs.pdf,5665.0,170.0,-204.0,3.58,0.338,-0.135,-0.2,0.3,-0.35,3.266,0.707,-1.313,1.478,0.184,-0.461,,,,q1_q17_dr25_stellar,299.41986,47.562832,12.985,13.577,12.948,12.731,12.624,11.619,11.309,11.256,,19.961355,1.6e-05,47.56255,0.00017,1.12,0.6,-1.03,0.62,,,5.8e-05,3.6e-05,-0.1,0.34,-1.33,0.44,1.33,0.44,-0.24,0.35,-1.37,0.49,1.39,0.49
8022,6066107,K06660.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,LPP_ALT_TOO_HIGH,0.82883944,,,132.013443,,,2454965.013,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,5.0692787,8.035858,,1,1612.0,1.0,q1_q17_dr24_tce,1.11111111111111e+31,,,,,006/006066/006066107/dv/kplr006066107-20141002224145_dvr.pdf,006/006066/006066107/dv/kplr006066107-001-20141002224145_dvs.pdf,,,,,,,,,,,,,,,,,,,,298.06454,41.308311,11.597,11.609,11.594,11.695,11.742,11.053,11.003,10.939,0.021,19.871006,4.5e-05,41.30884,0.0004,1.4,1.8,1.9,1.4,-9e-06,1.1e-05,-1.04e-05,8.5e-06,0.08,0.85,0.44,0.32,0.45,0.87,0.05,0.89,0.46,0.34,0.47,0.91
