rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
4494,9776186,K04543.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.281,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET,1.48922187,1.799e-05,-1.799e-05,132.3722,0.0102,-0.0102,2454965.372,0.0102,-0.0102,0.0,,,,,,0.393,0.069,-0.393,1.882,0.172,-0.172,,,,613.6,64.7,-64.7,0.022918,0.000924,-0.002005,1.62126,0.51667,-0.89873,LS+MCMC,2.5,0.0,0.0,0.0256,,,86.08,,,1594.0,,,1524.19,0.0,0.0,5.75,1.8,-1.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,4.0662603,9.636493,10.8,1,458.0,1.0,q1_q17_dr25_tce,1.11101111e+26,0.7867,Mandel and Agol (2002 ApJ 580 171),,,009/009776/009776186/dv/kplr009776186-20160209194854_dvr.pdf,009/009776/009776186/dv/kplr009776186-001-20160209194854_dvs.pdf,5780.0,,,4.438,,,0.0,0.0,0.0,1.0,,,1.0,,,,,,Solar,294.15503,46.575706,17.352,18.336,17.33,16.927,,15.54,14.89,14.843,0.0,19.610028,2.4e-05,46.57773,0.00033,-11.43,0.9,7.3,1.2,0.00624,0.00053,-0.00502,0.0007,-1.81,0.26,7.31,0.15,7.53,0.15,-3.297,0.069,5.748,0.081,6.627,0.078
1498,11297236,K01857.01,Kepler-1771 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.862,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,88.6440015,0.0002922,-0.0002922,145.47193,0.00288,-0.00288,2454978.472,0.00288,-0.00288,0.0,,,,,,0.724,0.003,-0.539,7.82,0.111,-0.111,,,,625.5,12.2,-12.2,0.024607,0.00198,-0.001764,0.59555,0.87651,-0.28723,LS+MCMC,2.51,0.33,-0.19,0.3815,,,89.34,,,391.0,,,5.51,2.08,-1.18,62.8,30.8,-30.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,14.281977,38.35715,57.6,1,15.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4822,Mandel and Agol (2002 ApJ 580 171),,,011/011297/011297236/dv/kplr011297236-20160209194854_dvr.pdf,011/011297/011297236/dv/kplr011297236-001-20160209194854_dvs.pdf,5661.0,101.0,-112.0,4.471,0.056,-0.112,0.0,0.15,-0.15,0.934,0.124,-0.072,0.941,0.057,-0.063,,,,q1_q17_dr25_stellar,292.0134,49.019119,13.748,14.214,13.694,13.548,13.504,12.573,12.206,12.152,0.059,19.4675668,6.6e-06,49.019042,7.1e-05,0.24,0.23,-0.28,0.25,0.0,0.00015,0.00019,0.00016,0.31,0.14,-0.29,0.23,0.43,0.19,0.47,0.22,-0.18,0.19,0.5,0.17
4889,9028474,K03510.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,124.93576738,8.341e-05,-8.341e-05,177.686517,0.000559,-0.000559,2455010.687,0.000559,-0.000559,0.0,,,,,,0.542,0.03,-0.02,7.5608,0.0344,-0.0344,,,,240900.0,1247.0,-1247.0,0.480155,0.009392,-0.012819,6.3692,0.07103,-0.12032,LS+MCMC,49.34,9.96,-5.35,0.4842,,,89.82,,,362.0,,,4.06,2.35,-1.17,173.86,1.9,-1.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,6041.868,7997.279,332.8,1,12.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.55,Mandel and Agol (2002 ApJ 580 171),,,009/009028/009028474/dv/kplr009028474-20160209194854_dvr.pdf,009/009028/009028474/dv/kplr009028474-001-20160209194854_dvs.pdf,5887.0,132.0,-162.0,4.477,0.06,-0.14,-0.14,0.3,-0.3,0.941,0.19,-0.102,0.97,0.11,-0.11,,,,q1_q17_dr25_stellar,294.15952,45.375919,12.338,12.76,12.273,12.158,12.111,11.193,10.908,10.87,0.0,19.610638382,1.4e-08,45.37591522,1.5e-07,0.13967,0.00053,-0.01722,0.00054,-0.03,0.55,-0.14,0.78,0.014,0.067,0.034,0.067,0.037,0.067,0.104,0.067,-0.042,0.067,0.112,0.067
8556,8879915,K07105.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_DV---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_ALT---HAS_SEC_TCE---CENT_NOFITS,1.721313779,1.95e-07,-1.95e-07,132.5318957,9.44e-05,-9.44e-05,2454965.532,9.44e-05,-9.44e-05,0.0,,,,,,0.315,0.007,-0.004,3.54768,0.00441,-0.00441,,,,534620.0,611.0,-611.0,0.714233,0.007548,-0.002419,1.61953,0.01976,-0.02653,LS+MCMC,83.69,24.64,-13.26,0.028,,,87.15,,,1627.0,,,1658.35,1431.25,-630.89,6.3302,0.0772,-0.0772,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,1797.2623,20769.879,742.8,1,0.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,-1.0,Mandel and Agol (2002 ApJ 580 171),,,008/008879/008879915/dv/kplr008879915-20160209194854_dvr.pdf,008/008879/008879915/dv/kplr008879915-001-20160209194854_dvs.pdf,5960.0,160.0,-196.0,4.371,0.124,-0.186,-0.12,0.3,-0.3,1.073,0.316,-0.17,0.986,0.145,-0.119,,,,q1_q17_dr25_stellar,289.74515,45.18716,15.187,15.695,15.141,14.969,14.881,14.004,13.623,13.585,,19.316342948,1.6e-08,45.18718717,1.6e-07,-0.04004,0.00061,0.09782,0.00059,,,-0.1,0.13,0.061,0.068,0.054,0.067,0.082,0.068,-0.007,0.068,-0.05,0.069,0.05,0.069
1215,11954842,K01530.01,Kepler-883 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.98494603,3.249e-05,-3.249e-05,139.78207,0.00203,-0.00203,2454972.782,0.00203,-0.00203,0.0,,,,,,0.046,0.378,-0.046,3.4497,0.0649,-0.0649,,,,257.2,7.6,-7.6,0.01467,0.000461,-0.00024,2.77985,0.15466,-0.84248,LS+MCMC,1.64,0.24,-0.19,0.1055,,,89.91,,,818.0,,,105.74,43.23,-30.05,29.15,1.6,-1.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,q1_q17_dr25_koi,6.358666,33.825256,38.4,1,79.0,1.0,q1_q17_dr25_tce,1.11111101110111e+31,0.0019,Mandel and Agol (2002 ApJ 580 171),,,011/011954/011954842/dv/kplr011954842-20160209194854_dvr.pdf,011/011954/011954842/dv/kplr011954842-001-20160209194854_dvs.pdf,5948.0,107.0,-119.0,4.384,0.11,-0.11,-0.26,0.15,-0.15,1.025,0.149,-0.122,0.93,0.059,-0.065,,,,q1_q17_dr25_stellar,286.43365,50.300331,13.029,13.378,13.002,12.88,12.854,12.05,11.773,11.752,0.044,19.095575,1e-05,50.300374,9.8e-05,-0.1,0.36,0.16,0.35,5.9e-05,9.3e-05,-0.000111,9.2e-05,0.29,0.28,0.21,0.56,0.35,0.44,0.36,0.27,-0.13,0.54,0.39,0.28
7880,9411943,K07170.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_DV---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---CENT_UNRESOLVED_OFFSET,1.922009494,6.25e-07,-6.25e-07,132.161285,0.000268,-0.000268,2454965.161,0.000268,-0.000268,0.0,,,,,,1.312,0.362,-0.181,3.101,0.0141,-0.0141,,,,6547.8,26.6,-26.6,0.40951,0.352332,-0.167419,0.11016,0.03886,-0.01291,LS+MCMC,48.61,13.82,-10.06,0.0287,,,61.84,,,1596.0,,,1534.66,1279.75,-679.43,2.781,0.981,-0.981,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2979,0.3238,q1_q17_dr25_koi,76.74022,912.41644,284.4,1,700.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.0,Mandel and Agol (2002 ApJ 580 171),,,009/009411/009411943/dv/kplr009411943-20160209194854_dvr.pdf,009/009411/009411943/dv/kplr009411943-001-20160209194854_dvs.pdf,5880.0,158.0,-175.0,4.296,0.225,-0.184,-0.4,0.3,-0.3,1.087,0.309,-0.225,0.854,0.128,-0.069,,,,q1_q17_dr25_stellar,294.94177,45.929562,14.738,15.264,14.714,14.513,14.436,13.513,13.184,13.043,0.0,19.66278113,4.7e-07,45.9293159,5.6e-06,-0.108,0.018,-0.879,0.02,0.00115,0.00016,0.0063,0.00022,-0.208,0.069,-1.046,0.068,1.066,0.068,-0.137,0.068,-0.939,0.069,0.949,0.069
5039,10092312,K01823.02,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_ALT---CENT_RESOLVED_OFFSET---EPHEM_MATCH,1.096587245,1.423e-06,-1.423e-06,132.51421,0.00111,-0.00111,2454965.514,0.00111,-0.00111,0.0,,,,,,2.623,1.441,-0.04,3.0287,0.0589,-0.0589,,,,541.2,10.2,-10.2,1.639758,1.442961,-0.038945,0.32884,0.59192,-0.10449,LS+MCMC,168.68,48.88,-16.3,0.0212,,,17.79,,,1726.0,,,2096.5,1741.24,-610.22,2.75,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,5.085161,33.81817,67.1,2,944.0,2.0,q1_q17_dr25_tce,1.1111101110111e+31,0.9426,Mandel and Agol (2002 ApJ 580 171),,,010/010092/010092312/dv/kplr010092312-20160209194854_dvr.pdf,010/010092/010092312/dv/kplr010092312-002-20160209194854_dvs.pdf,5869.0,142.0,-203.0,4.513,0.036,-0.204,0.07,0.25,-0.3,0.942,0.273,-0.091,1.054,0.112,-0.137,,,,q1_q17_dr25_stellar,297.78775,47.098331,13.954,14.429,13.868,13.751,13.692,12.734,12.449,12.355,,19.8433631,9.4e-06,47.097609,9e-05,-336.46,0.35,-2.59,0.32,,,0.000677,6e-05,-5.3,1.2,2.46,0.37,5.83,0.89,-5.6,1.4,2.12,0.44,6.0,1.2
6030,7461307,K02909.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,0.77359329,2.718e-06,-2.718e-06,132.09232,0.00294,-0.00294,2454965.092,0.00294,-0.00294,0.0,,,,,,0.388,0.103,-0.388,1.7603,0.0952,-0.0952,,,,80.6,4.5,-4.5,0.008311,0.000282,-0.000419,1.03084,0.35853,-0.34306,LS+MCMC,0.82,0.25,-0.08,0.0163,,,83.02,,,1890.0,,,3022.82,2672.1,-857.71,3.19,1.1,-1.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,4.238458,17.108883,21.7,1,1727.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9181,Mandel and Agol (2002 ApJ 580 171),,,007/007461/007461307/dv/kplr007461307-20160209194854_dvr.pdf,007/007461/007461307/dv/kplr007461307-001-20160209194854_dvs.pdf,5747.0,156.0,-173.0,4.508,0.05,-0.2,-0.04,0.25,-0.3,0.907,0.273,-0.091,0.968,0.114,-0.114,,,,q1_q17_dr25_stellar,296.23697,43.014149,14.615,15.158,14.554,14.382,14.317,13.356,13.008,12.889,0.0,19.749255,2.2e-05,43.01597,0.00022,4.93,0.88,6.55,0.8,-0.000286,5e-05,-0.000363,4.6e-05,4.98,0.4,3.57,0.39,6.13,0.5,4.9,0.42,3.73,0.41,6.16,0.52
378,5956342,K01052.02,Kepler-265 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.945,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.84619236,4.036e-05,-4.036e-05,132.17265,0.00528,-0.00528,2454965.173,0.00528,-0.00528,0.0,,,,,,0.077,0.388,-0.077,3.529,0.145,-0.145,,,,246.8,15.2,-15.2,0.014341,0.000666,-0.000565,1.36207,0.1289,-0.54858,LS+MCMC,1.67,0.25,-0.27,0.0677,,,89.71,,,1022.0,,,258.41,106.17,-89.32,15.0,1.4,-1.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3728,q1_q17_dr25_koi,4.100413,16.315655,17.7,4,193.0,2.0,q1_q17_dr25_tce,1.11111111111111e+31,0.5424,Mandel and Agol (2002 ApJ 580 171),,,005/005956/005956342/dv/kplr005956342-20160209194854_dvr.pdf,005/005956/005956342/dv/kplr005956342-002-20160209194854_dvs.pdf,5839.0,105.0,-105.0,4.327,0.156,-0.104,-0.28,0.15,-0.15,1.067,0.156,-0.172,0.881,0.07,-0.051,,,,q1_q17_dr25_stellar,290.51047,41.24482,15.381,15.803,15.348,15.201,15.149,14.252,13.935,13.897,0.258,19.367376,2.6e-05,41.24491,0.00023,0.5,1.0,0.32,0.85,-0.00014,0.00027,-0.00017,0.00022,-0.75,0.23,-0.15,0.17,0.77,0.23,-0.81,0.22,-0.35,0.16,0.89,0.22
1607,2438513,K01944.01,Kepler-1777 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.18420006,4.127e-05,-4.127e-05,139.05644,0.00282,-0.00282,2454972.056,0.00282,-0.00282,0.0,,,,,,0.746,0.035,-0.533,2.5014,0.0863,-0.0863,,,,499.3,22.5,-22.5,0.022196,0.005909,-0.001909,2.24035,4.70344,-2.02432,LS+MCMC,2.59,0.39,-0.29,0.1031,,,88.36,,,819.0,,,106.52,44.98,-29.08,26.0,10.9,-10.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,5.3136487,25.758984,23.3,2,113.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6878,Mandel and Agol (2002 ApJ 580 171),,,002/002438/002438513/dv/kplr002438513-20160209194854_dvr.pdf,002/002438/002438513/dv/kplr002438513-001-20160209194854_dvs.pdf,5771.0,104.0,-115.0,4.374,0.105,-0.105,0.06,0.15,-0.15,1.068,0.161,-0.12,0.984,0.072,-0.065,,,,q1_q17_dr25_stellar,290.32867,37.72311,13.982,14.432,13.943,13.79,13.722,12.911,12.609,12.528,0.003,19.3552362,7.6e-06,37.72303,0.00013,-0.36,0.32,-0.27,0.46,0.0002,0.00016,-0.00033,0.00023,-0.17,0.17,-0.02,0.22,0.17,0.16,-0.17,0.16,-0.11,0.24,0.2,0.16
