rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
6662,8656535,K05556.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,631.99116,0.006482,-0.006482,147.27452,0.00767,-0.00767,2454980.275,0.00767,-0.00767,0.0,,,,,,0.2397,0.2152,-0.2397,2.99,0.301,-0.301,,,,345.6,52.3,-52.3,0.016903,0.0014,-0.001614,192.41893,97.35134,-100.8568,MCMC,1.86,0.69,-0.26,1.3923,,,89.95,,,210.0,,,0.46,0.52,-0.16,1596.0,404.0,-404.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2453,0.4346,q1_q16_koi,,,7.2,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,008/008656/008656535/dv/kplr008656535-20130815195353_dvr.pdf,008/008656/008656535/dv/kplr008656535-001-20130826182306_dvs.pdf,5594.0,185.0,-161.0,4.387,0.119,-0.246,0.0,0.24,-0.26,1.006,0.377,-0.14,0.901,0.116,-0.067,,,,stellar_q1_q16,301.50656,44.711842,13.415,14.017,13.374,13.157,,11.795,11.375,11.345,0.164,20.100428,4.7e-05,44.71224,0.00048,-0.4,1.8,1.4,1.7,0.0005,0.00062,-0.00036,0.00059,-1.45,0.46,-1.82,0.24,2.32,0.34,-1.38,0.44,-1.405,0.067,1.97,0.31
1371,9634821,K02037.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,8.56267266,4.308e-05,-4.308e-05,355.13518,0.00348,-0.00348,2455188.135,0.00348,-0.00348,0.0,,,,,,0.335,0.126,-0.335,1.53,0.129,-0.129,,,,608.1,50.6,-50.6,0.022272,0.001244,-0.001408,18.18192,7.15414,-9.82758,LS+MCMC,2.26,1.17,-0.35,0.0776,,,89.54,,,768.0,,,82.22,137.64,-31.21,41.3,16.3,-16.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1324,0.6039,q1_q17_dr25_koi,4.060325,18.69375,15.2,3,132.0,3.0,q1_q17_dr25_tce,1.1111111111111e+28,0.5253,Mandel and Agol (2002 ApJ 580 171),,,009/009634/009634821/dv/kplr009634821-20160209194854_dvr.pdf,009/009634/009634821/dv/kplr009634821-003-20160209194854_dvs.pdf,5029.0,192.0,-174.0,4.429,0.13,-0.416,0.48,0.05,-0.25,0.93,0.481,-0.144,0.847,0.068,-0.049,,,,q1_q17_dr25_stellar,284.34274,46.316551,15.213,16.038,15.092,14.859,14.696,13.661,13.175,13.016,0.093,18.9561703,9e-06,46.31729,0.00014,-0.44,0.33,2.67,0.52,-0.00015,0.00021,0.00033,0.00032,2.59,0.16,-9.4,0.16,9.75,0.17,-0.21,0.15,0.18,0.16,0.28,0.17
4167,6119921,K04201.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,245.01902,0.01676,-0.01676,268.1105,0.0455,-0.0455,2455101.11,0.0455,-0.0455,0.0,,,,,,0.3471,0.1352,-0.347,8.56,1.9,-1.9,,,,375.9,60.6,-60.6,0.017977,0.001352,-0.001998,2.89118,2.49831,-2.7674,MCMC,1.98,0.89,-0.19,0.7796,,,89.95,,,310.0,,,2.17,2.88,-0.62,209.3,90.5,-90.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2983,0.3281,q1_q16_koi,,,10.1,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,6167.0,159.0,-205.0,4.451,0.051,-0.304,-0.14,0.22,-0.32,1.01,0.454,-0.097,1.046,0.199,-0.123,,,,stellar_q1_q16,290.62659,41.490959,14.881,15.32,14.824,14.693,14.597,13.721,13.389,13.321,,,,,,,,,,,,,,,,,,,,,,,,,
2658,3747262,K03005.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,1.312459403,6.228e-06,-6.228e-06,132.22569,0.00371,-0.00371,2454965.226,0.00371,-0.00371,0.0,,,,,,0.732,0.06,-0.509,1.459,0.141,-0.141,,,,36.9,3.6,-3.6,0.006013,9.3e-05,-0.000563,1.22575,3.60347,-1.12946,LS+MCMC,1.65,0.3,-0.57,0.0262,,,81.26,,,2824.0,,,15018.33,8139.16,-9181.65,4.81,2.4,-2.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3105,0.2893,q1_q17_dr25_koi,4.642574,11.442597,13.9,1,1020.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8078,Mandel and Agol (2002 ApJ 580 171),,,003/003747/003747262/dv/kplr003747262-20160209194854_dvr.pdf,003/003747/003747262/dv/kplr003747262-001-20160209194854_dvs.pdf,6543.0,158.0,-177.0,3.782,0.293,-0.098,-0.28,0.3,-0.25,2.507,0.461,-0.856,1.388,0.255,-0.255,,,,q1_q17_dr25_stellar,291.534,38.816261,12.524,12.806,12.486,12.404,12.398,11.665,11.426,11.389,0.0,19.435405,1.7e-05,38.81214,0.00024,-8.22,0.73,-14.85,0.86,0.000269,2.4e-05,0.000495,2.9e-05,-3.36,0.2,-7.78,0.14,8.47,0.2,-3.38,0.17,-7.79,0.13,8.49,0.17
6652,7770901,K05426.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.99,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,124.887214,0.002758,-0.002758,133.7933,0.0167,-0.0167,2454966.793,0.0167,-0.0167,0.0,,,,,,0.752,0.031,-0.534,8.599,0.41,-0.41,,,,176.5,15.3,-15.3,0.013187,0.003,-0.001236,0.51894,1.08967,-0.47647,LS+MCMC,1.78,0.49,-0.5,0.4722,,,89.43,,,435.0,,,8.48,6.91,-4.56,75.4,31.6,-31.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2946,0.3268,q1_q17_dr25_koi,5.0396447,10.1577215,13.3,1,11.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.8597,Mandel and Agol (2002 ApJ 580 171),,,007/007770/007770901/dv/kplr007770901-20160209194854_dvr.pdf,007/007770/007770901/dv/kplr007770901-001-20160209194854_dvs.pdf,6103.0,165.0,-184.0,4.209,0.264,-0.176,-0.5,0.3,-0.3,1.234,0.342,-0.342,0.898,0.128,-0.086,,,,q1_q17_dr25_stellar,297.29047,43.467789,13.701,14.14,13.669,13.513,13.438,12.461,12.095,12.098,0.92,19.819373,2.4e-05,43.46781,0.00032,0.35,0.94,0.1,1.1,-4e-05,0.00017,-3e-05,0.00021,-0.16,0.56,-0.08,0.41,0.18,0.51,-0.02,0.43,-0.23,0.33,0.23,0.33
381,5956656,K01053.01,Kepler-756 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.224866441,4.135e-06,-4.135e-06,133.20824,0.00257,-0.00257,2454966.208,0.00257,-0.00257,0.0,,,,,,0.286,0.172,-0.286,1.7086,0.0841,-0.0841,,,,196.0,10.9,-10.9,0.012766,0.00046,-0.00057,1.93938,0.3196,-0.82171,LS+MCMC,1.54,0.23,-0.22,0.0219,,,86.94,,,1741.0,,,2174.33,833.59,-669.43,5.358,0.883,-0.883,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2291,0.4603,q1_q17_dr25_koi,4.700383,18.573778,21.1,2,1094.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.912,Mandel and Agol (2002 ApJ 580 171),,,005/005956/005956656/dv/kplr005956656-20160209194854_dvr.pdf,005/005956/005956656/dv/kplr005956656-001-20160209194854_dvs.pdf,5553.0,74.0,-74.0,4.32,0.137,-0.1,0.14,0.15,-0.15,1.107,0.161,-0.161,0.933,0.067,-0.043,,,,q1_q17_dr25_stellar,290.60794,41.201092,15.376,15.972,15.332,15.121,15.034,14.128,13.656,13.535,0.002,19.373841,1.8e-05,41.20142,0.0002,-0.86,0.73,1.17,0.71,0.00016,0.00014,-0.00022,0.00013,-0.1,0.8,0.28,0.85,0.3,0.85,-0.11,0.8,0.36,0.85,0.38,0.85
536,5735762,K00148.03,Kepler-48 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,42.89645024,9.431e-05,-9.431e-05,146.0613,0.00186,-0.00186,2454979.061,0.00186,-0.00186,0.0,,,,,,0.007,0.397,-0.007,5.6897,0.056,-0.056,,,,555.3,8.6,-8.6,0.02097,0.000602,-0.00023,2.09055,0.09495,-0.49767,LS+MCMC,2.0,0.15,-0.15,0.2279,,,89.99,,,448.0,,,9.54,2.38,-1.99,58.81,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,q1_q17_dr25_koi,13.863696,44.07612,66.8,3,30.0,3.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1089,Mandel and Agol (2002 ApJ 580 171),,,005/005735/005735762/dv/kplr005735762-20160209194854_dvr.pdf,005/005735/005735762/dv/kplr005735762-003-20160209194854_dvs.pdf,5192.0,103.0,-103.0,4.489,0.066,-0.054,0.18,0.15,-0.15,0.873,0.065,-0.065,0.856,0.05,-0.041,,,,q1_q17_dr25_stellar,299.13922,40.94902,13.04,13.692,13.009,12.761,12.692,11.702,11.292,11.221,0.03,19.9426175,6.2e-06,40.948995,6.4e-05,0.14,0.25,-0.09,0.23,-6e-05,0.00014,-0.00018,0.00013,-0.3,0.16,0.05,0.14,0.31,0.16,-0.26,0.15,-0.22,0.17,0.34,0.17
6002,7210749,K07828.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.131,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET,17.5859472,0.00029,-0.00029,138.7798,0.0157,-0.0157,2454971.78,0.0157,-0.0157,0.0,,,,,,0.042,0.41,-0.041,3.815,0.402,-0.402,,,,509.5,70.7,-70.7,0.02049,0.001722,-0.001596,2.83348,0.27313,-1.91995,LS+MCMC,2.24,0.0,0.0,0.1326,,,89.93,,,700.0,,,56.81,0.0,0.0,35.91,3.5,-3.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,3.7063234,7.3859973,8.4,1,77.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.907,Mandel and Agol (2002 ApJ 580 171),,,007/007210/007210749/dv/kplr007210749-20160209194854_dvr.pdf,007/007210/007210749/dv/kplr007210749-001-20160209194854_dvs.pdf,5780.0,,,4.438,,,0.0,0.0,0.0,1.0,,,1.0,,,,,,Solar,294.85565,42.790672,13.7,,13.7,15.69,,15.837,15.263,15.146,0.193,19.656979,1.5e-05,42.7915,0.0002,-2.55,0.61,2.97,0.74,-0.00014,0.0003,0.00031,0.00037,10.91,0.95,-7.1,1.0,13.0,0.96,1.75,0.9,0.5,1.7,1.81,0.97
6612,10399137,K05791.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,385.593209,0.006574,-0.006574,393.8276,0.0129,-0.0129,2455226.828,0.0129,-0.0129,0.0,,,,,,0.5548,0.0122,-0.4744,2.799,0.51,-0.51,,,,282.9,50.2,-50.2,0.01597,0.001321,-0.001678,91.47779,125.67838,-88.30866,MCMC,2.37,1.26,-0.54,1.0549,,,89.95,,,311.0,,,2.2,3.55,-1.05,896.0,410.0,-410.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3026,0.3154,q1_q16_koi,,,5.6,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,010/010399/010399137/dv/kplr010399137-20130815195353_dvr.pdf,010/010399/010399137/dv/kplr010399137-001-20130826182306_dvs.pdf,6205.0,165.0,-196.0,4.194,0.202,-0.27,-0.22,0.28,-0.3,1.358,0.725,-0.31,1.05,0.266,-0.13,,,,stellar_q1_q16,289.53293,47.596931,13.927,14.339,13.883,13.751,13.712,12.779,12.534,12.455,0.001,19.302278,4.5e-05,47.59683,0.00045,3.0,1.6,-0.4,1.6,-0.00088,0.00045,1e-05,0.00045,1.14,0.44,0.14,0.54,1.14,0.44,0.85,0.43,-0.22,0.42,0.88,0.5
1139,10990917,K01643.01,Kepler-919 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.04605365,7.009e-05,-7.009e-05,136.44056,0.00588,-0.00588,2454969.441,0.00588,-0.00588,0.0,,,,,,0.064,0.373,-0.064,4.799,0.138,-0.138,,,,308.3,15.0,-15.0,0.016086,0.000687,-0.00038,0.88069,0.08144,-0.28349,LS+MCMC,1.8,0.61,-0.2,0.0981,,,89.79,,,869.0,,,134.66,135.62,-42.85,17.84,1.6,-1.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,4.838763,22.176304,24.3,1,96.0,1.0,q1_q17_dr25_tce,1.1111101110111e+31,0.8634,Mandel and Agol (2002 ApJ 580 171),,,010/010990/010990917/dv/kplr010990917-20160209194854_dvr.pdf,010/010990/010990917/dv/kplr010990917-001-20160209194854_dvs.pdf,6093.0,180.0,-217.0,4.429,0.072,-0.217,-0.12,0.25,-0.3,1.025,0.345,-0.115,1.025,0.153,-0.126,,,,q1_q17_dr25_stellar,298.11478,48.4944,14.681,15.155,14.642,14.478,14.413,13.575,13.257,13.306,0.008,19.874302,1.6e-05,48.49466,0.0002,-0.56,0.58,0.95,0.72,0.00027,0.00018,-0.00028,0.00022,0.23,0.27,0.11,0.17,0.26,0.28,0.28,0.26,0.11,0.17,0.31,0.27
