rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
4148,9072639,K04198.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.089,0,0,0,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,1.182862515,7.262e-06,-7.262e-06,131.97137,0.00497,-0.00497,2454964.971,0.00497,-0.00497,0.0,,,,,,0.284,0.178,-0.284,2.928,0.136,-0.136,,,,22.3,1.6,-1.6,0.004368,0.000174,-0.000231,0.3795,0.05714,-0.15289,LS+MCMC,1.26,0.17,-0.43,0.0237,,,84.63,,,2800.0,,,14544.87,5755.74,-8677.73,3.039,0.458,-0.458,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2957,0.3329,q1_q17_dr25_koi,5.007085,13.442885,16.5,1,1132.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.4668,Mandel and Agol (2002 ApJ 580 171),,,009/009072/009072639/dv/kplr009072639-20160209194854_dvr.pdf,009/009072/009072639/dv/kplr009072639-001-20160209194854_dvs.pdf,6017.0,120.0,-120.0,3.699,0.248,-0.078,-0.38,0.15,-0.15,2.639,0.358,-0.894,1.269,0.111,-0.24,,,,q1_q17_dr25_stellar,283.85291,45.48526,12.638,13.047,12.573,12.464,,11.648,11.401,11.356,0.168,18.923522,1.8e-05,45.48509,0.00017,-0.21,0.67,-0.62,0.62,8e-06,1.5e-05,1.3e-05,1.4e-05,-1.08,0.61,0.88,0.9,1.39,0.49,-1.03,0.65,0.93,0.91,1.38,0.54
8403,10661976,K07356.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,1,0,1,1,q1_q17_dr25_sup_koi,LPP_DV---HALO_GHOST---EPHEM_MATCH,0.61566096,1.128e-05,-1.128e-05,131.8348,0.017,-0.017,2454964.835,0.017,-0.017,0.0,,,,,,0.161,0.339,-0.161,2.669,0.579,-0.579,,,,13.9,2.0,-2.0,0.003453,0.000347,-0.000232,0.31597,0.43276,-0.18465,LS+MCMC,0.84,0.2,-0.39,0.0159,,,85.02,,,3459.0,,,33790.36,23862.99,-25583.88,1.85,0.845,-0.845,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3105,0.2893,q1_q17_dr25_koi,3.1501155,7.5792,8.5,1,1094.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.7367,Mandel and Agol (2002 ApJ 580 171),,,010/010661/010661976/dv/kplr010661976-20160209194854_dvr.pdf,010/010661/010661976/dv/kplr010661976-001-20160209194854_dvs.pdf,6619.0,187.0,-234.0,3.89,0.424,-0.133,-0.32,0.3,-0.3,2.23,0.525,-1.049,1.408,0.191,-0.356,,,,q1_q17_dr25_stellar,290.37558,47.996696,13.74,14.053,13.677,13.602,,12.732,12.478,12.49,0.005,19.358321,3.5e-05,47.99714,0.00033,-1.8,1.3,1.6,1.2,2.8e-05,2.1e-05,-2.9e-05,2e-05,-0.31,0.59,-0.5,1.1,0.6,1.1,-0.28,0.57,-0.7,1.2,0.8,1.2
4897,6445531,K07779.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,1,q1_q17_dr25_sup_koi,CENT_KIC_POS---HALO_GHOST---EPHEM_MATCH,1.71024931,1.64e-05,-1.64e-05,131.6423,0.0105,-0.0105,2454964.642,0.0105,-0.0105,0.0,,,,,,0.508,0.455,-0.301,2.833,0.78,-0.78,,,,98.6,31.9,-31.9,0.00937,0.003965,-0.002184,0.44059,31.61031,-0.33117,LS+MCMC,1.2,0.35,-0.15,0.0301,,,82.85,,,1766.0,,,2298.2,2001.71,-798.07,4.08,2.0,-2.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3138,0.2998,q1_q17_dr25_koi,2.925971,8.45173,9.4,1,663.0,1.0,q1_q17_dr25_tce,1.1111111111111e+28,0.5676,Mandel and Agol (2002 ApJ 580 171),,,006/006445/006445531/dv/kplr006445531-20160209194854_dvr.pdf,006/006445/006445531/dv/kplr006445531-001-20160209194854_dvs.pdf,6418.0,179.0,-246.0,4.395,0.062,-0.188,0.07,0.2,-0.35,1.171,0.345,-0.148,1.241,0.144,-0.199,,,,q1_q17_dr25_stellar,292.7066,41.894218,15.761,16.166,15.709,15.587,15.528,14.66,14.405,14.306,0.0,19.513858,4.8e-05,41.89522,0.00051,3.4,1.9,3.6,1.8,-0.00034,0.00015,-0.00035,0.00014,2.1,1.1,3.57,0.76,4.1,1.1,-0.3,1.2,1.38,0.86,1.41,0.88
4518,8803757,K04904.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.995,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.5944891,3.353e-05,-3.353e-05,132.36207,0.00779,-0.00779,2454965.362,0.00779,-0.00779,0.0,,,,,,0.041,0.414,-0.041,2.557,0.269,-0.269,,,,89.9,10.5,-10.5,0.00854,0.000608,-0.000601,1.86297,0.34721,-1.10594,LS+MCMC,0.98,0.14,-0.12,0.0447,,,89.79,,,1178.0,,,455.99,176.97,-121.77,10.84,2.0,-2.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2291,0.4603,q1_q17_dr25_koi,3.592841,8.480067,10.4,1,369.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.6801,Mandel and Agol (2002 ApJ 580 171),,,008/008803/008803757/dv/kplr008803757-20160209194854_dvr.pdf,008/008803/008803757/dv/kplr008803757-001-20160209194854_dvs.pdf,5523.0,74.0,-74.0,4.364,0.121,-0.099,0.14,0.15,-0.15,1.046,0.154,-0.126,0.922,0.062,-0.043,,,,q1_q17_dr25_stellar,284.72797,45.064968,15.033,15.528,14.987,14.82,14.763,13.838,13.501,13.454,0.005,18.981936,3.7e-05,45.06553,0.00042,2.8,1.4,2.0,1.5,-0.0002,0.00012,-0.00017,0.00013,-0.91,0.65,-0.37,0.7,0.98,0.66,-0.82,0.75,-0.4,0.88,0.91,0.68
2304,10070468,K02628.01,Kepler-1297 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.68189051,1.076e-05,-1.076e-05,133.07951,0.00512,-0.00512,2454966.08,0.00512,-0.00512,0.0,,,,,,0.415,0.047,-0.415,2.992,0.161,-0.161,,,,83.2,5.6,-5.6,0.008447,0.000298,-0.000448,0.42957,0.19632,-0.12485,LS+MCMC,1.27,0.2,-0.23,0.0283,,,84.06,,,1790.0,,,2432.14,1005.66,-880.04,4.0,1.8,-1.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.26,0.4133,q1_q17_dr25_koi,3.201359,14.623486,17.4,1,791.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.998,Mandel and Agol (2002 ApJ 580 171),,,010/010070/010070468/dv/kplr010070468-20160209194854_dvr.pdf,010/010070/010070468/dv/kplr010070468-001-20160209194854_dvs.pdf,5827.0,70.0,-79.0,4.191,0.162,-0.108,0.16,0.15,-0.15,1.374,0.221,-0.246,1.068,0.098,-0.071,,,,q1_q17_dr25_stellar,289.95651,47.02039,14.812,15.223,14.768,14.635,14.564,13.684,13.381,13.262,0.67,19.33042,2.3e-05,47.02042,0.00024,-0.48,0.85,0.11,0.85,3.3e-05,6.5e-05,-2.3e-05,6.6e-05,0.33,0.34,-0.08,0.44,0.34,0.41,0.23,0.32,-0.22,0.42,0.32,0.48
1689,11811193,K02260.01,Kepler-1163 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.11784972,2.782e-05,-2.782e-05,133.61873,0.00387,-0.00387,2454966.619,0.00387,-0.00387,0.0,,,,,,0.391,0.061,-0.391,3.458,0.112,-0.112,,,,60.5,2.8,-2.8,0.007241,0.000185,-0.000272,1.0027,0.39768,-0.19411,LS+MCMC,1.05,0.19,-0.15,0.0685,,,88.22,,,1211.0,,,509.24,250.37,-169.7,12.57,5.0,-5.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.305,0.3201,q1_q17_dr25_koi,12.458749,22.091854,25.8,1,218.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1586,Mandel and Agol (2002 ApJ 580 171),,,011/011811/011811193/dv/kplr011811193-20160209194854_dvr.pdf,011/011811/011811193/dv/kplr011811193-001-20160209194854_dvs.pdf,6226.0,112.0,-137.0,4.247,0.12,-0.12,0.02,0.15,-0.15,1.333,0.238,-0.195,1.143,0.106,-0.086,,,,q1_q17_dr25_stellar,290.23584,50.03009,12.168,12.443,12.115,12.05,12.058,11.253,10.982,10.971,0.025,19.349078,1.3e-05,50.02996,0.00015,0.78,0.44,-0.48,0.53,-4.4e-05,2.7e-05,3.3e-05,3.2e-05,-0.24,0.54,-0.04,0.43,0.25,0.51,-0.23,0.52,-0.07,0.47,0.24,0.45
2664,9119568,K03087.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,5.54867998,7.541e-05,-7.541e-05,133.9285,0.0112,-0.0112,2454966.928,0.0112,-0.0112,0.0,,,,,,0.095,0.363,-0.095,4.665,0.302,-0.302,,,,68.9,5.0,-5.0,0.007428,0.000322,-0.000466,0.46783,0.39883,-0.18193,LS+MCMC,0.68,0.05,-0.05,0.0577,,,89.4,,,882.0,,,143.26,36.06,-28.54,9.13,3.9,-3.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1959,0.5086,q1_q17_dr25_koi,3.0178843,12.058357,15.4,2,240.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.1256,Mandel and Agol (2002 ApJ 580 171),,,009/009119/009119568/dv/kplr009119568-20160209194854_dvr.pdf,009/009119/009119568/dv/kplr009119568-001-20160209194854_dvs.pdf,5258.0,105.0,-105.0,4.514,0.055,-0.055,0.0,0.15,-0.15,0.835,0.063,-0.057,0.831,0.053,-0.042,,,,q1_q17_dr25_stellar,300.93738,45.49007,12.837,13.493,12.789,12.556,12.437,11.478,11.06,10.978,0.0,20.061983,2.6e-05,45.49674,0.00022,-19.28,0.98,24.01,0.8,0.001246,6.3e-05,-0.001533,5.1e-05,-5.79,0.61,7.62,0.11,9.57,0.32,-5.71,0.54,7.65,0.1,9.55,0.28
5266,9892816,K01955.03,Kepler-342 e,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.644221032,5.949e-06,-5.949e-06,131.75241,0.0029,-0.0029,2454964.752,0.0029,-0.0029,0.0,,,,,,0.942,0.014,-0.648,2.9122,0.0778,-0.0778,,,,47.8,2.2,-2.2,0.007869,0.000128,-0.001529,0.04254,0.52304,-0.01124,LS+MCMC,1.18,0.19,-0.16,0.0293,,,58.94,,,1897.0,,,3071.95,1416.69,-959.78,1.825,0.898,-0.898,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3024,0.3288,q1_q17_dr25_koi,3.8581078,17.542873,24.1,4,752.0,3.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9,Mandel and Agol (2002 ApJ 580 171),,,009/009892/009892816/dv/kplr009892816-20160209194854_dvr.pdf,009/009892/009892816/dv/kplr009892816-003-20160209194854_dvs.pdf,6297.0,113.0,-126.0,4.26,0.09,-0.11,0.14,0.15,-0.2,1.369,0.228,-0.187,1.247,0.091,-0.111,,,,q1_q17_dr25_stellar,292.67807,46.726711,13.147,13.431,13.089,13.025,13.033,12.22,11.999,11.957,0.001,19.511826,1.6e-05,46.7266,0.00018,-1.71,0.57,-0.38,0.65,7.6e-05,2.5e-05,1.8e-05,2.9e-05,-0.18,0.71,0.02,0.47,0.19,0.74,-0.15,0.66,-0.05,0.46,0.16,0.53
1973,5534941,K02332.01,Kepler-1827 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.994,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.70063251,1.772e-05,-1.772e-05,133.16065,0.00406,-0.00406,2454966.161,0.00406,-0.00406,0.0,,,,,,0.71,0.24,-0.492,5.408,0.102,-0.102,,,,68.6,2.6,-2.6,0.008108,0.001958,-0.000641,0.07759,0.10784,-0.01172,LS+MCMC,1.24,0.19,-0.43,0.0455,,,79.31,,,1329.0,,,737.02,316.9,-446.43,3.83,1.8,-1.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,4.7086787,22.710674,29.8,1,362.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9767,Mandel and Agol (2002 ApJ 580 171),,,005/005534/005534941/dv/kplr005534941-20160209194854_dvr.pdf,005/005534/005534941/dv/kplr005534941-001-20160209194854_dvs.pdf,5423.0,108.0,-97.0,4.105,0.36,-0.112,0.08,0.15,-0.1,1.404,0.21,-0.49,0.915,0.049,-0.061,,,,q1_q17_dr25_stellar,292.25247,40.792721,13.024,13.626,12.981,12.766,12.659,11.669,11.261,11.171,0.246,19.483494,1.1e-05,40.79287,0.00011,-0.18,0.43,0.54,0.39,1.5e-05,2.9e-05,-2.1e-05,2.6e-05,0.05,0.24,-0.28,0.26,0.29,0.27,0.03,0.25,-0.05,0.24,0.06,0.26
8700,4863753,K06466.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.002,0,0,1,0,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET,1.000012952,3.956e-06,-3.956e-06,131.7614,0.0038,-0.0038,2454964.761,0.0038,-0.0038,0.0,,,,,,0.097,0.366,-0.097,1.221,0.111,-0.111,,,,36.0,4.5,-4.5,0.005392,0.000968,-3.6e-05,4.70461,9.74779,-3.58496,LS+MCMC,2.12,0.35,-0.7,0.023,,,89.12,,,2858.0,,,15781.19,6856.18,-9240.77,6.29,2.6,-2.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2038,0.5029,q1_q17_dr25_koi,3.786952,9.2776575,11.9,1,1340.0,1.0,q1_q17_dr25_tce,1.11111111111111e+31,0.9045,Mandel and Agol (2002 ApJ 580 171),,,004/004863/004863753/dv/kplr004863753-20160209194854_dvr.pdf,004/004863/004863753/dv/kplr004863753-001-20160209194854_dvs.pdf,5176.0,72.0,-103.0,3.534,0.224,-0.096,0.12,0.15,-0.2,3.605,0.595,-1.189,1.621,0.152,-0.425,,,,q1_q17_dr25_stellar,298.47495,39.92321,11.942,12.631,11.935,11.647,11.544,10.539,10.134,10.041,0.0,19.898296,2.2e-05,39.92208,0.00024,-1.39,0.9,-4.06,0.87,2.9e-05,2.2e-05,9.7e-05,2.1e-05,-11.175,0.071,-6.615,0.068,12.986,0.07,-11.145,0.069,-6.633,0.069,12.969,0.07
